sar_pass_id,satellite_id,acquisition_date,grid_cell_id,lat,lng,los_displacement_mm,coherence_index,velocity_mm_day
SAR-2026-0020,Sentinel-1A,2026-05-01,GRID-CELL-100,17.5538,80.6105,-2.15,0.595,-0.36
SAR-2026-0021,Sentinel-1B,2026-05-07,GRID-CELL-101,17.5514,80.6139,-16.27,0.641,-2.71
SAR-2026-0022,Sentinel-1B,2026-05-13,GRID-CELL-102,17.5476,80.6136,-13.13,0.456,-2.19
SAR-2026-0023,Sentinel-1A,2026-05-19,GRID-CELL-103,17.5531,80.6182,-6.03,0.558,-1.01
SAR-2026-0024,Sentinel-1B,2026-05-25,GRID-CELL-104,17.5479,80.6179,-18.57,0.886,-3.10
SAR-2026-0025,Sentinel-1A,2026-05-31,GRID-CELL-105,17.5514,80.6169,-9.99,0.537,-1.67
SAR-2026-0026,Sentinel-1B,2026-06-06,GRID-CELL-106,17.5469,80.6142,-21.57,0.566,-3.60
SAR-2026-0027,Sentinel-1B,2026-06-12,GRID-CELL-107,17.5453,80.6197,-21.43,0.464,-3.57
SAR-2026-0028,Sentinel-1B,2026-06-18,GRID-CELL-108,17.5454,80.6113,-4.46,0.936,-0.74
SAR-2026-0029,Sentinel-1B,2026-06-24,GRID-CELL-109,17.5539,80.6164,-7.16,0.840,-1.19
SAR-2026-0030,Sentinel-1B,2026-06-30,GRID-CELL-110,17.5498,80.6171,-13.92,0.762,-2.32
SAR-2026-0031,Sentinel-1A,2026-07-06,GRID-CELL-111,17.5455,80.6173,-8.81,0.724,-1.47
SAR-2026-0032,Sentinel-1B,2026-07-12,GRID-CELL-112,17.5533,80.6190,-4.59,0.762,-0.77
SAR-2026-0033,Sentinel-1B,2026-07-18,GRID-CELL-113,17.5529,80.6107,-18.40,0.644,-3.07
SAR-2026-0034,Sentinel-1B,2026-07-24,GRID-CELL-114,17.5485,80.6127,-17.92,0.935,-2.99
SAR-2026-0035,Sentinel-1A,2026-07-30,GRID-CELL-115,17.5507,80.6114,-21.98,0.551,-3.66
SAR-2026-0036,Sentinel-1B,2026-08-05,GRID-CELL-116,17.5541,80.6195,-17.09,0.498,-2.85
SAR-2026-0037,Sentinel-1B,2026-08-11,GRID-CELL-117,17.5487,80.6147,-24.84,0.481,-4.14
SAR-2026-0038,Sentinel-1B,2026-08-17,GRID-CELL-118,17.5453,80.6126,-25.08,0.818,-4.18
SAR-2026-0039,Sentinel-1B,2026-08-23,GRID-CELL-119,17.5536,80.6154,-26.93,0.724,-4.49
SAR-2026-0040,Sentinel-1B,2026-08-29,GRID-CELL-100,17.5464,80.6195,-18.35,0.686,-3.06
SAR-2026-0041,Sentinel-1A,2026-09-04,GRID-CELL-101,17.5549,80.6156,-24.36,0.728,-4.06
SAR-2026-0042,Sentinel-1A,2026-09-10,GRID-CELL-102,17.5507,80.6165,-4.44,0.723,-0.74
SAR-2026-0043,Sentinel-1B,2026-09-16,GRID-CELL-103,17.5512,80.6122,-21.92,0.477,-3.65
SAR-2026-0044,Sentinel-1A,2026-09-22,GRID-CELL-104,17.5470,80.6193,-8.30,0.787,-1.38
SAR-2026-0045,Sentinel-1A,2026-09-28,GRID-CELL-105,17.5493,80.6138,-23.36,0.518,-3.89
SAR-2026-0046,Sentinel-1A,2026-10-04,GRID-CELL-106,17.5510,80.6171,-2.65,0.912,-0.44
SAR-2026-0047,Sentinel-1B,2026-10-10,GRID-CELL-107,17.5493,80.6164,-18.74,0.612,-3.12
SAR-2026-0048,Sentinel-1B,2026-10-16,GRID-CELL-108,17.5511,80.6141,-17.38,0.841,-2.90
SAR-2026-0049,Sentinel-1A,2026-10-22,GRID-CELL-109,17.5457,80.6191,-10.96,0.585,-1.83
SAR-2026-0050,Sentinel-1B,2026-10-28,GRID-CELL-110,17.5505,80.6121,-3.68,0.557,-0.61
SAR-2026-0051,Sentinel-1B,2026-11-03,GRID-CELL-111,17.5529,80.6198,-22.05,0.909,-3.68
SAR-2026-0052,Sentinel-1B,2026-11-09,GRID-CELL-112,17.5542,80.6155,-13.21,0.816,-2.20
SAR-2026-0053,Sentinel-1B,2026-11-15,GRID-CELL-113,17.5517,80.6122,-22.46,0.646,-3.74
SAR-2026-0054,Sentinel-1B,2026-11-21,GRID-CELL-114,17.5489,80.6135,-11.80,0.821,-1.97
SAR-2026-0055,Sentinel-1B,2026-11-27,GRID-CELL-115,17.5481,80.6192,-7.55,0.589,-1.26
SAR-2026-0056,Sentinel-1A,2026-12-03,GRID-CELL-116,17.5540,80.6113,-3.51,0.636,-0.58
SAR-2026-0057,Sentinel-1A,2026-12-09,GRID-CELL-117,17.5539,80.6192,-19.74,0.548,-3.29
SAR-2026-0058,Sentinel-1A,2026-12-15,GRID-CELL-118,17.5487,80.6199,-17.97,0.946,-2.99
SAR-2026-0059,Sentinel-1B,2026-12-21,GRID-CELL-119,17.5508,80.6190,-19.97,0.840,-3.33
SAR-2026-0060,Sentinel-1B,2026-12-27,GRID-CELL-100,17.5549,80.6193,-24.97,0.806,-4.16
SAR-2026-0061,Sentinel-1A,2027-01-02,GRID-CELL-101,17.5467,80.6175,-20.15,0.754,-3.36
SAR-2026-0062,Sentinel-1B,2027-01-08,GRID-CELL-102,17.5463,80.6147,-22.26,0.531,-3.71
SAR-2026-0063,Sentinel-1A,2027-01-14,GRID-CELL-103,17.5512,80.6117,-22.89,0.911,-3.81
SAR-2026-0064,Sentinel-1A,2027-01-20,GRID-CELL-104,17.5526,80.6144,-7.50,0.537,-1.25
SAR-2026-0065,Sentinel-1A,2027-01-26,GRID-CELL-105,17.5456,80.6167,-22.52,0.466,-3.75
SAR-2026-0066,Sentinel-1B,2027-02-01,GRID-CELL-106,17.5491,80.6194,-22.32,0.840,-3.72
SAR-2026-0067,Sentinel-1B,2027-02-07,GRID-CELL-107,17.5488,80.6174,-21.96,0.947,-3.66
SAR-2026-0068,Sentinel-1B,2027-02-13,GRID-CELL-108,17.5461,80.6147,-13.74,0.617,-2.29
SAR-2026-0069,Sentinel-1B,2027-02-19,GRID-CELL-109,17.5544,80.6146,-15.91,0.800,-2.65
SAR-2026-0070,Sentinel-1A,2027-02-25,GRID-CELL-110,17.5540,80.6165,-2.76,0.562,-0.46
SAR-2026-0071,Sentinel-1A,2027-03-03,GRID-CELL-111,17.5509,80.6194,-11.31,0.547,-1.89
SAR-2026-0072,Sentinel-1A,2027-03-09,GRID-CELL-112,17.5499,80.6184,-2.09,0.849,-0.35
SAR-2026-0073,Sentinel-1A,2027-03-15,GRID-CELL-113,17.5514,80.6110,-20.14,0.848,-3.36
SAR-2026-0074,Sentinel-1B,2027-03-21,GRID-CELL-114,17.5465,80.6146,-13.83,0.475,-2.31
SAR-2026-0075,Sentinel-1B,2027-03-27,GRID-CELL-115,17.5492,80.6146,-12.98,0.508,-2.16
SAR-2026-0076,Sentinel-1A,2027-04-02,GRID-CELL-116,17.5505,80.6173,-11.63,0.737,-1.94
SAR-2026-0077,Sentinel-1A,2027-04-08,GRID-CELL-117,17.5501,80.6120,-17.73,0.559,-2.96
SAR-2026-0078,Sentinel-1A,2027-04-14,GRID-CELL-118,17.5510,80.6200,-21.66,0.894,-3.61
SAR-2026-0079,Sentinel-1A,2027-04-20,GRID-CELL-119,17.5498,80.6132,-5.52,0.864,-0.92
SAR-2026-0080,Sentinel-1B,2027-04-26,GRID-CELL-100,17.5523,80.6178,-3.18,0.834,-0.53
SAR-2026-0081,Sentinel-1B,2027-05-02,GRID-CELL-101,17.5523,80.6163,-17.11,0.602,-2.85
SAR-2026-0082,Sentinel-1A,2027-05-08,GRID-CELL-102,17.5546,80.6139,-10.59,0.535,-1.76
SAR-2026-0083,Sentinel-1B,2027-05-14,GRID-CELL-103,17.5483,80.6114,-21.00,0.862,-3.50
SAR-2026-0084,Sentinel-1B,2027-05-20,GRID-CELL-104,17.5463,80.6168,-14.97,0.741,-2.50
SAR-2026-0085,Sentinel-1B,2027-05-26,GRID-CELL-105,17.5524,80.6118,-8.06,0.887,-1.34
SAR-2026-0086,Sentinel-1A,2027-06-01,GRID-CELL-106,17.5545,80.6187,-10.70,0.756,-1.78
SAR-2026-0087,Sentinel-1B,2027-06-07,GRID-CELL-107,17.5458,80.6101,-24.02,0.726,-4.00
SAR-2026-0088,Sentinel-1B,2027-06-13,GRID-CELL-108,17.5502,80.6189,-18.44,0.499,-3.07
SAR-2026-0089,Sentinel-1B,2027-06-19,GRID-CELL-109,17.5485,80.6124,-20.64,0.903,-3.44
SAR-2026-0090,Sentinel-1B,2027-06-25,GRID-CELL-110,17.5524,80.6107,-3.09,0.535,-0.52
SAR-2026-0091,Sentinel-1A,2027-07-01,GRID-CELL-111,17.5466,80.6122,-8.16,0.804,-1.36
SAR-2026-0092,Sentinel-1B,2027-07-07,GRID-CELL-112,17.5458,80.6157,-18.47,0.903,-3.08
SAR-2026-0093,Sentinel-1A,2027-07-13,GRID-CELL-113,17.5504,80.6135,-12.81,0.527,-2.14
SAR-2026-0094,Sentinel-1A,2027-07-19,GRID-CELL-114,17.5485,80.6105,-15.50,0.745,-2.58
SAR-2026-0095,Sentinel-1A,2027-07-25,GRID-CELL-115,17.5450,80.6143,-9.24,0.875,-1.54
SAR-2026-0096,Sentinel-1A,2027-07-31,GRID-CELL-116,17.5486,80.6157,-25.81,0.882,-4.30
SAR-2026-0097,Sentinel-1A,2027-08-06,GRID-CELL-117,17.5502,80.6150,-12.47,0.482,-2.08
SAR-2026-0098,Sentinel-1B,2027-08-12,GRID-CELL-118,17.5530,80.6173,-3.63,0.502,-0.60
SAR-2026-0099,Sentinel-1B,2027-08-18,GRID-CELL-119,17.5465,80.6178,-17.26,0.853,-2.88
SAR-2026-0100,Sentinel-1B,2027-08-24,GRID-CELL-100,17.5489,80.6161,-21.65,0.931,-3.61
SAR-2026-0101,Sentinel-1B,2027-08-30,GRID-CELL-101,17.5498,80.6152,-22.25,0.676,-3.71
SAR-2026-0102,Sentinel-1B,2027-09-05,GRID-CELL-102,17.5515,80.6115,-24.45,0.827,-4.08
SAR-2026-0103,Sentinel-1A,2027-09-11,GRID-CELL-103,17.5453,80.6180,-19.65,0.685,-3.27
SAR-2026-0104,Sentinel-1A,2027-09-17,GRID-CELL-104,17.5493,80.6187,-3.64,0.632,-0.61
SAR-2026-0105,Sentinel-1A,2027-09-23,GRID-CELL-105,17.5541,80.6100,-11.88,0.848,-1.98
SAR-2026-0106,Sentinel-1B,2027-09-29,GRID-CELL-106,17.5486,80.6107,-14.44,0.906,-2.41
SAR-2026-0107,Sentinel-1A,2027-10-05,GRID-CELL-107,17.5528,80.6190,-15.31,0.552,-2.55
SAR-2026-0108,Sentinel-1A,2027-10-11,GRID-CELL-108,17.5503,80.6124,-23.68,0.947,-3.95
SAR-2026-0109,Sentinel-1A,2027-10-17,GRID-CELL-109,17.5471,80.6173,-22.41,0.947,-3.73
SAR-2026-0110,Sentinel-1A,2027-10-23,GRID-CELL-110,17.5488,80.6175,-3.86,0.572,-0.64
SAR-2026-0111,Sentinel-1B,2027-10-29,GRID-CELL-111,17.5525,80.6123,-18.18,0.789,-3.03
SAR-2026-0112,Sentinel-1B,2027-11-04,GRID-CELL-112,17.5521,80.6125,-7.12,0.818,-1.19
SAR-2026-0113,Sentinel-1B,2027-11-10,GRID-CELL-113,17.5487,80.6107,-18.44,0.685,-3.07
SAR-2026-0114,Sentinel-1A,2027-11-16,GRID-CELL-114,17.5515,80.6181,-26.13,0.781,-4.35
SAR-2026-0115,Sentinel-1B,2027-11-22,GRID-CELL-115,17.5451,80.6137,-23.45,0.524,-3.91
SAR-2026-0116,Sentinel-1A,2027-11-28,GRID-CELL-116,17.5493,80.6176,-13.15,0.474,-2.19
SAR-2026-0117,Sentinel-1B,2027-12-04,GRID-CELL-117,17.5461,80.6108,-2.87,0.629,-0.48
SAR-2026-0118,Sentinel-1B,2027-12-10,GRID-CELL-118,17.5505,80.6109,-3.61,0.776,-0.60
SAR-2026-0119,Sentinel-1B,2027-12-16,GRID-CELL-119,17.5517,80.6165,-6.33,0.912,-1.05
SAR-2026-0120,Sentinel-1B,2027-12-22,GRID-CELL-100,17.5461,80.6139,-21.69,0.744,-3.62
SAR-2026-0121,Sentinel-1B,2027-12-28,GRID-CELL-101,17.5477,80.6190,-7.68,0.950,-1.28
SAR-2026-0122,Sentinel-1A,2028-01-03,GRID-CELL-102,17.5543,80.6178,-7.47,0.623,-1.24
SAR-2026-0123,Sentinel-1A,2028-01-09,GRID-CELL-103,17.5460,80.6121,-8.73,0.552,-1.46
SAR-2026-0124,Sentinel-1B,2028-01-15,GRID-CELL-104,17.5512,80.6188,-2.01,0.604,-0.33
SAR-2026-0125,Sentinel-1A,2028-01-21,GRID-CELL-105,17.5526,80.6196,-21.69,0.525,-3.62
SAR-2026-0126,Sentinel-1B,2028-01-27,GRID-CELL-106,17.5498,80.6115,-3.53,0.931,-0.59
SAR-2026-0127,Sentinel-1B,2028-02-02,GRID-CELL-107,17.5534,80.6161,-25.01,0.886,-4.17
SAR-2026-0128,Sentinel-1A,2028-02-08,GRID-CELL-108,17.5467,80.6187,-26.92,0.801,-4.49
SAR-2026-0129,Sentinel-1A,2028-02-14,GRID-CELL-109,17.5543,80.6115,-7.34,0.803,-1.22
SAR-2026-0130,Sentinel-1A,2028-02-20,GRID-CELL-110,17.5503,80.6140,-14.28,0.525,-2.38
SAR-2026-0131,Sentinel-1A,2028-02-26,GRID-CELL-111,17.5527,80.6109,-10.70,0.725,-1.78
SAR-2026-0132,Sentinel-1B,2028-03-03,GRID-CELL-112,17.5508,80.6197,-7.38,0.755,-1.23
SAR-2026-0133,Sentinel-1B,2028-03-09,GRID-CELL-113,17.5547,80.6135,-24.23,0.799,-4.04
SAR-2026-0134,Sentinel-1B,2028-03-15,GRID-CELL-114,17.5518,80.6101,-3.32,0.841,-0.55
SAR-2026-0135,Sentinel-1B,2028-03-21,GRID-CELL-115,17.5482,80.6184,-2.42,0.848,-0.40
SAR-2026-0136,Sentinel-1B,2028-03-27,GRID-CELL-116,17.5518,80.6132,-12.63,0.574,-2.10
SAR-2026-0137,Sentinel-1A,2028-04-02,GRID-CELL-117,17.5487,80.6177,-4.24,0.653,-0.71
SAR-2026-0138,Sentinel-1B,2028-04-08,GRID-CELL-118,17.5525,80.6111,-24.51,0.866,-4.08
SAR-2026-0139,Sentinel-1B,2028-04-14,GRID-CELL-119,17.5469,80.6174,-13.42,0.640,-2.24
SAR-2026-0140,Sentinel-1A,2028-04-20,GRID-CELL-100,17.5459,80.6181,-19.58,0.606,-3.26
SAR-2026-0141,Sentinel-1B,2028-04-26,GRID-CELL-101,17.5532,80.6130,-6.76,0.484,-1.13
SAR-2026-0142,Sentinel-1B,2028-05-02,GRID-CELL-102,17.5472,80.6176,-14.33,0.930,-2.39
SAR-2026-0143,Sentinel-1A,2028-05-08,GRID-CELL-103,17.5518,80.6104,-19.49,0.948,-3.25
SAR-2026-0144,Sentinel-1A,2028-05-14,GRID-CELL-104,17.5515,80.6113,-8.00,0.917,-1.33
SAR-2026-0145,Sentinel-1B,2028-05-20,GRID-CELL-105,17.5534,80.6179,-22.10,0.450,-3.68
SAR-2026-0146,Sentinel-1A,2028-05-26,GRID-CELL-106,17.5479,80.6144,-20.81,0.541,-3.47
SAR-2026-0147,Sentinel-1A,2028-06-01,GRID-CELL-107,17.5480,80.6197,-13.15,0.723,-2.19
SAR-2026-0148,Sentinel-1A,2028-06-07,GRID-CELL-108,17.5519,80.6172,-4.09,0.725,-0.68
SAR-2026-0149,Sentinel-1B,2028-06-13,GRID-CELL-109,17.5517,80.6126,-7.48,0.881,-1.25
SAR-2026-0150,Sentinel-1A,2028-06-19,GRID-CELL-110,17.5497,80.6191,-5.75,0.581,-0.96
SAR-2026-0151,Sentinel-1A,2028-06-25,GRID-CELL-111,17.5547,80.6109,-4.80,0.716,-0.80
SAR-2026-0152,Sentinel-1A,2028-07-01,GRID-CELL-112,17.5465,80.6107,-6.88,0.839,-1.15
SAR-2026-0153,Sentinel-1B,2028-07-07,GRID-CELL-113,17.5477,80.6157,-11.59,0.738,-1.93
SAR-2026-0154,Sentinel-1A,2028-07-13,GRID-CELL-114,17.5542,80.6114,-9.14,0.925,-1.52
SAR-2026-0155,Sentinel-1A,2028-07-19,GRID-CELL-115,17.5528,80.6152,-21.50,0.723,-3.58
SAR-2026-0156,Sentinel-1A,2028-07-25,GRID-CELL-116,17.5546,80.6166,-24.03,0.662,-4.00
SAR-2026-0157,Sentinel-1B,2028-07-31,GRID-CELL-117,17.5547,80.6184,-12.59,0.665,-2.10
SAR-2026-0158,Sentinel-1A,2028-08-06,GRID-CELL-118,17.5467,80.6199,-23.64,0.537,-3.94
SAR-2026-0159,Sentinel-1A,2028-08-12,GRID-CELL-119,17.5521,80.6140,-12.67,0.802,-2.11
SAR-2026-0160,Sentinel-1A,2028-08-18,GRID-CELL-100,17.5503,80.6192,-15.90,0.578,-2.65
SAR-2026-0161,Sentinel-1B,2028-08-24,GRID-CELL-101,17.5546,80.6174,-3.07,0.509,-0.51
SAR-2026-0162,Sentinel-1B,2028-08-30,GRID-CELL-102,17.5529,80.6150,-14.53,0.598,-2.42
SAR-2026-0163,Sentinel-1A,2028-09-05,GRID-CELL-103,17.5469,80.6147,-4.79,0.852,-0.80
SAR-2026-0164,Sentinel-1B,2028-09-11,GRID-CELL-104,17.5516,80.6195,-19.24,0.790,-3.21
SAR-2026-0165,Sentinel-1A,2028-09-17,GRID-CELL-105,17.5499,80.6107,-20.97,0.753,-3.49
SAR-2026-0166,Sentinel-1B,2028-09-23,GRID-CELL-106,17.5521,80.6134,-20.95,0.663,-3.49
SAR-2026-0167,Sentinel-1B,2028-09-29,GRID-CELL-107,17.5513,80.6117,-21.39,0.499,-3.56
SAR-2026-0168,Sentinel-1A,2028-10-05,GRID-CELL-108,17.5526,80.6158,-11.48,0.769,-1.91
SAR-2026-0169,Sentinel-1A,2028-10-11,GRID-CELL-109,17.5487,80.6157,-4.31,0.833,-0.72
SAR-2026-0170,Sentinel-1B,2028-10-17,GRID-CELL-110,17.5515,80.6131,-19.02,0.659,-3.17
SAR-2026-0171,Sentinel-1A,2028-10-23,GRID-CELL-111,17.5484,80.6114,-7.54,0.597,-1.26
SAR-2026-0172,Sentinel-1A,2028-10-29,GRID-CELL-112,17.5505,80.6124,-24.58,0.685,-4.10
SAR-2026-0173,Sentinel-1B,2028-11-04,GRID-CELL-113,17.5514,80.6197,-25.30,0.923,-4.22
SAR-2026-0174,Sentinel-1A,2028-11-10,GRID-CELL-114,17.5460,80.6150,-14.10,0.668,-2.35
SAR-2026-0175,Sentinel-1A,2028-11-16,GRID-CELL-115,17.5485,80.6118,-7.31,0.892,-1.22
SAR-2026-0176,Sentinel-1B,2028-11-22,GRID-CELL-116,17.5533,80.6173,-16.31,0.670,-2.72
SAR-2026-0177,Sentinel-1B,2028-11-28,GRID-CELL-117,17.5522,80.6173,-7.15,0.936,-1.19
SAR-2026-0178,Sentinel-1B,2028-12-04,GRID-CELL-118,17.5502,80.6126,-10.30,0.699,-1.72
SAR-2026-0179,Sentinel-1A,2028-12-10,GRID-CELL-119,17.5506,80.6105,-10.81,0.926,-1.80
SAR-2026-0180,Sentinel-1A,2028-12-16,GRID-CELL-100,17.5504,80.6128,-13.10,0.587,-2.18
SAR-2026-0181,Sentinel-1A,2028-12-22,GRID-CELL-101,17.5489,80.6197,-23.35,0.931,-3.89
SAR-2026-0182,Sentinel-1A,2028-12-28,GRID-CELL-102,17.5486,80.6160,-3.29,0.535,-0.55
SAR-2026-0183,Sentinel-1A,2029-01-03,GRID-CELL-103,17.5509,80.6193,-19.41,0.935,-3.23
SAR-2026-0184,Sentinel-1B,2029-01-09,GRID-CELL-104,17.5519,80.6121,-16.69,0.708,-2.78
SAR-2026-0185,Sentinel-1A,2029-01-15,GRID-CELL-105,17.5458,80.6116,-8.82,0.761,-1.47
SAR-2026-0186,Sentinel-1A,2029-01-21,GRID-CELL-106,17.5528,80.6134,-2.81,0.464,-0.47
SAR-2026-0187,Sentinel-1B,2029-01-27,GRID-CELL-107,17.5522,80.6110,-8.34,0.834,-1.39
SAR-2026-0188,Sentinel-1A,2029-02-02,GRID-CELL-108,17.5469,80.6114,-24.62,0.631,-4.10
SAR-2026-0189,Sentinel-1A,2029-02-08,GRID-CELL-109,17.5497,80.6117,-7.04,0.636,-1.17
SAR-2026-0190,Sentinel-1A,2029-02-14,GRID-CELL-110,17.5455,80.6128,-2.96,0.636,-0.49
SAR-2026-0191,Sentinel-1A,2029-02-20,GRID-CELL-111,17.5521,80.6131,-3.66,0.728,-0.61
SAR-2026-0192,Sentinel-1A,2029-02-26,GRID-CELL-112,17.5541,80.6200,-13.96,0.843,-2.33
SAR-2026-0193,Sentinel-1B,2029-03-04,GRID-CELL-113,17.5485,80.6146,-21.01,0.644,-3.50
SAR-2026-0194,Sentinel-1A,2029-03-10,GRID-CELL-114,17.5537,80.6103,-2.33,0.880,-0.39
SAR-2026-0195,Sentinel-1A,2029-03-16,GRID-CELL-115,17.5458,80.6101,-6.52,0.946,-1.09
SAR-2026-0196,Sentinel-1B,2029-03-22,GRID-CELL-116,17.5460,80.6174,-2.82,0.928,-0.47
SAR-2026-0197,Sentinel-1B,2029-03-28,GRID-CELL-117,17.5524,80.6179,-18.40,0.849,-3.07
SAR-2026-0198,Sentinel-1A,2029-04-03,GRID-CELL-118,17.5493,80.6165,-4.46,0.893,-0.74
SAR-2026-0199,Sentinel-1B,2029-04-09,GRID-CELL-119,17.5526,80.6135,-9.43,0.650,-1.57
SAR-2026-0200,Sentinel-1B,2029-04-15,GRID-CELL-100,17.5527,80.6170,-25.35,0.747,-4.23
SAR-2026-0201,Sentinel-1B,2029-04-21,GRID-CELL-101,17.5486,80.6131,-9.47,0.909,-1.58
SAR-2026-0202,Sentinel-1A,2029-04-27,GRID-CELL-102,17.5497,80.6188,-11.63,0.544,-1.94
SAR-2026-0203,Sentinel-1A,2029-05-03,GRID-CELL-103,17.5516,80.6131,-23.08,0.537,-3.85
SAR-2026-0204,Sentinel-1B,2029-05-09,GRID-CELL-104,17.5543,80.6184,-12.27,0.670,-2.04
SAR-2026-0205,Sentinel-1B,2029-05-15,GRID-CELL-105,17.5452,80.6181,-3.47,0.706,-0.58
SAR-2026-0206,Sentinel-1B,2029-05-21,GRID-CELL-106,17.5511,80.6187,-20.66,0.566,-3.44
SAR-2026-0207,Sentinel-1B,2029-05-27,GRID-CELL-107,17.5508,80.6170,-10.22,0.686,-1.70
SAR-2026-0208,Sentinel-1B,2029-06-02,GRID-CELL-108,17.5535,80.6153,-2.19,0.653,-0.36
SAR-2026-0209,Sentinel-1B,2029-06-08,GRID-CELL-109,17.5461,80.6104,-12.02,0.620,-2.00
SAR-2026-0210,Sentinel-1A,2029-06-14,GRID-CELL-110,17.5502,80.6106,-17.42,0.902,-2.90
SAR-2026-0211,Sentinel-1A,2029-06-20,GRID-CELL-111,17.5538,80.6192,-2.94,0.789,-0.49
SAR-2026-0212,Sentinel-1B,2029-06-26,GRID-CELL-112,17.5495,80.6175,-16.72,0.770,-2.79
SAR-2026-0213,Sentinel-1A,2029-07-02,GRID-CELL-113,17.5546,80.6154,-18.02,0.892,-3.00
SAR-2026-0214,Sentinel-1B,2029-07-08,GRID-CELL-114,17.5465,80.6107,-16.93,0.554,-2.82
SAR-2026-0215,Sentinel-1B,2029-07-14,GRID-CELL-115,17.5457,80.6163,-21.85,0.618,-3.64
SAR-2026-0216,Sentinel-1A,2029-07-20,GRID-CELL-116,17.5467,80.6196,-24.96,0.924,-4.16
SAR-2026-0217,Sentinel-1A,2029-07-26,GRID-CELL-117,17.5450,80.6165,-3.40,0.709,-0.57
SAR-2026-0218,Sentinel-1B,2029-08-01,GRID-CELL-118,17.5536,80.6134,-20.07,0.618,-3.35
SAR-2026-0219,Sentinel-1B,2029-08-07,GRID-CELL-119,17.5460,80.6135,-7.10,0.791,-1.18
SAR-2026-0220,Sentinel-1A,2029-08-13,GRID-CELL-100,17.5456,80.6148,-21.38,0.644,-3.56
SAR-2026-0221,Sentinel-1B,2029-08-19,GRID-CELL-101,17.5508,80.6187,-15.99,0.774,-2.67
SAR-2026-0222,Sentinel-1A,2029-08-25,GRID-CELL-102,17.5483,80.6103,-20.22,0.533,-3.37
SAR-2026-0223,Sentinel-1B,2029-08-31,GRID-CELL-103,17.5548,80.6122,-2.13,0.520,-0.35
SAR-2026-0224,Sentinel-1B,2029-09-06,GRID-CELL-104,17.5500,80.6147,-24.23,0.790,-4.04
SAR-2026-0225,Sentinel-1A,2029-09-12,GRID-CELL-105,17.5533,80.6159,-18.72,0.588,-3.12
SAR-2026-0226,Sentinel-1A,2029-09-18,GRID-CELL-106,17.5481,80.6129,-25.04,0.614,-4.17
SAR-2026-0227,Sentinel-1B,2029-09-24,GRID-CELL-107,17.5484,80.6151,-26.87,0.589,-4.48
SAR-2026-0228,Sentinel-1B,2029-09-30,GRID-CELL-108,17.5462,80.6145,-22.11,0.714,-3.69
SAR-2026-0229,Sentinel-1A,2029-10-06,GRID-CELL-109,17.5507,80.6101,-11.70,0.500,-1.95
SAR-2026-0230,Sentinel-1B,2029-10-12,GRID-CELL-110,17.5456,80.6131,-14.22,0.696,-2.37
SAR-2026-0231,Sentinel-1A,2029-10-18,GRID-CELL-111,17.5510,80.6191,-5.57,0.741,-0.93
