reading_id,timestamp,site_id,zone_id,sensor_id,tilt_angle_deg,tilt_rate_deg_hr,crack_width_mm,crack_rate_mm_hr,vibration_ppv_mms,soil_moisture_pct,signal_dbm,sensor_battery_pct,angular_crack_velocity_product,crack_expansion_ratio,moisture_weighted_tilt,hazard_index_H,risk_class
29,2026-01-02T05:00:00.000Z,singareni-s4,zone-a,PZ-401,3.88,0.76,8.05,1.28,3.98,72,-70,71,1.049,0.157,2.794,0.68,Critical
30,2026-01-02T06:00:00.000Z,singareni-s4,zone-c,PZ-401,0.81,0.28,1.61,0.07,0.86,20,-80,90,0.048,0.041,0.162,0.246,Normal
31,2026-01-02T07:00:00.000Z,singareni-s4,zone-b,PZ-401,0.23,0.26,0,0,0,36,-78,92,0.026,0,0.083,0.041,Normal
32,2026-01-02T08:00:00.000Z,singareni-s4,zone-a,SN-101,0.3,0,1.75,0.4,0.12,23,-62,84,0,0.216,0.069,0.029,Normal
33,2026-01-02T09:00:00.000Z,jharia-open-pit,zone-a,SN-101,0.14,0.31,2.24,0.14,0.93,28,-75,65,0.074,0.06,0.039,0.113,Normal
34,2026-01-02T10:00:00.000Z,singareni-s4,zone-a,SN-101,1.82,0.51,3,0.13,2.36,58,-63,63,0.117,0.042,1.056,0.34,Warning
35,2026-01-02T11:00:00.000Z,korba-west-bench,zone-d,PZ-401,3.41,0.71,6.94,1.08,2.81,68,-68,86,0.838,0.153,2.319,0.645,Critical
36,2026-01-02T12:00:00.000Z,raniganj-south-slope,zone-d,PZ-401,0.45,0.17,0.14,0.25,0,28,-69,80,0.059,1.042,0.126,0.211,Normal
37,2026-01-02T13:00:00.000Z,raniganj-south-slope,zone-a,PZ-401,0.04,0.02,0.61,0.27,0.07,25,-76,80,0.007,0.38,0.01,0.148,Normal
38,2026-01-02T14:00:00.000Z,jharia-open-pit,zone-a,TL-301,1.76,0.41,3.5,0.61,2.93,48,-78,70,0.291,0.169,0.845,0.345,Warning
39,2026-01-02T15:00:00.000Z,raniganj-south-slope,zone-a,PZ-401,0,0.07,0.4,0.1,0.89,21,-71,82,0.014,0.2,0,0.084,Normal
40,2026-01-02T16:00:00.000Z,singareni-s4,zone-b,SN-101,0,0.09,0.45,0.09,0.84,36,-74,89,0.017,0.164,0,0.179,Normal
41,2026-01-02T17:00:00.000Z,korba-west-bench,zone-d,EX-201,0,0.18,1.08,0,0.88,10,-80,80,0.018,0,0,0.057,Normal
42,2026-01-02T18:00:00.000Z,korba-west-bench,zone-a,EX-201,0.71,0.19,1.44,0.12,0.18,29,-61,73,0.042,0.078,0.206,0.145,Normal
43,2026-01-02T19:00:00.000Z,raniganj-south-slope,zone-b,TL-301,3.26,0.84,7.54,1.31,2.66,83,-68,99,1.184,0.171,2.706,0.644,Critical
44,2026-01-02T20:00:00.000Z,singareni-s4,zone-d,TL-301,3.07,0.91,7.91,1.27,2.5,71,-64,93,1.247,0.159,2.18,0.612,Critical
45,2026-01-02T21:00:00.000Z,singareni-s4,zone-a,TL-301,0.41,0.09,0.62,0.21,0.87,30,-66,69,0.028,0.292,0.123,0.145,Normal
46,2026-01-02T22:00:00.000Z,korba-west-bench,zone-a,PZ-401,1.46,0.55,2.76,0.37,2.31,45,-71,65,0.259,0.129,0.657,0.294,Normal
47,2026-01-02T23:00:00.000Z,singareni-s4,zone-c,SN-101,1.47,0.15,3.45,0.41,1.84,45,-76,76,0.076,0.115,0.661,0.281,Normal
48,2026-01-03T00:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,0,0,0,0.24,0.18,26,-64,72,0,2.4,0,0.084,Normal
49,2026-01-03T01:00:00.000Z,singareni-s4,zone-c,EX-201,0.17,0.09,1.47,0,0.49,25,-81,95,0.009,0,0.043,0.127,Normal
50,2026-01-03T02:00:00.000Z,jharia-open-pit,zone-d,PZ-401,3.35,0.83,7.52,1.22,4.14,73,-62,82,1.096,0.16,2.446,0.645,Critical
51,2026-01-03T03:00:00.000Z,korba-west-bench,zone-a,SN-101,1.38,0.28,3.12,0.39,0.66,52,-73,88,0.137,0.121,0.718,0.299,Normal
52,2026-01-03T04:00:00.000Z,jharia-open-pit,zone-d,PZ-401,3.62,0.81,7.46,1.18,3.8,78,-61,65,1.037,0.156,2.824,0.647,Critical
53,2026-01-03T05:00:00.000Z,korba-west-bench,zone-b,SN-101,3.39,0.73,8.6,1.12,2.77,77,-81,79,0.891,0.129,2.61,0.636,Critical
54,2026-01-03T06:00:00.000Z,jharia-open-pit,zone-b,SN-101,0.19,0.03,0.11,0,0.3,23,-79,73,0.003,0,0.044,0.106,Normal
55,2026-01-03T07:00:00.000Z,jharia-open-pit,zone-a,TL-301,0.64,0.03,0.66,0.02,1.16,29,-61,68,0.004,0.026,0.186,0.108,Normal
56,2026-01-03T08:00:00.000Z,raniganj-south-slope,zone-b,SN-101,1.62,0.34,2.56,0.27,1.7,52,-66,97,0.126,0.102,0.842,0.287,Normal
57,2026-01-03T09:00:00.000Z,raniganj-south-slope,zone-c,SN-101,0.5,0,1.27,0,0.29,23,-75,90,0,0,0.115,0.087,Normal
58,2026-01-03T10:00:00.000Z,jharia-open-pit,zone-c,EX-201,0,0.1,0.36,0.35,1.1,28,-81,98,0.045,0.761,0,0.035,Normal
59,2026-01-03T11:00:00.000Z,singareni-s4,zone-d,PZ-401,2.23,0.54,3.79,0.54,2.46,31,-82,93,0.346,0.139,0.691,0.382,Warning
60,2026-01-03T12:00:00.000Z,raniganj-south-slope,zone-d,EX-201,0.19,0.39,2.43,0.78,2.3,47,-65,76,0.343,0.308,0.089,0.234,Normal
61,2026-01-03T13:00:00.000Z,korba-west-bench,zone-b,PZ-401,0.84,0.13,0.78,0.19,0.63,30,-85,66,0.038,0.216,0.252,0.108,Normal
62,2026-01-03T14:00:00.000Z,korba-west-bench,zone-c,PZ-401,3.74,1.02,8.23,1.24,2.75,76,-73,67,1.367,0.149,2.842,0.669,Critical
63,2026-01-03T15:00:00.000Z,raniganj-south-slope,zone-d,EX-201,1.69,0.22,3.49,0.38,0.67,52,-67,71,0.106,0.106,0.879,0.295,Normal
64,2026-01-03T16:00:00.000Z,korba-west-bench,zone-b,TL-301,1.23,0.39,3.68,0.42,1.66,47,-68,71,0.203,0.111,0.578,0.342,Warning
65,2026-01-03T17:00:00.000Z,jharia-open-pit,zone-c,TL-301,2.39,0.42,3.34,0.35,2.35,48,-67,72,0.189,0.102,1.147,0.31,Warning
66,2026-01-03T18:00:00.000Z,jharia-open-pit,zone-c,PZ-401,0.98,0.14,0.02,0.3,0.04,26,-76,80,0.056,2.5,0.255,0.099,Normal
67,2026-01-03T19:00:00.000Z,korba-west-bench,zone-d,EX-201,0.21,0,0.52,0,1.13,25,-63,96,0,0,0.052,0.04,Normal
68,2026-01-03T20:00:00.000Z,korba-west-bench,zone-a,SN-101,1.3,0.48,3.37,0.7,1.83,54,-71,95,0.384,0.202,0.702,0.311,Warning
69,2026-01-03T21:00:00.000Z,korba-west-bench,zone-b,SN-101,3.34,0.9,8.88,1.28,2.87,69,-79,76,1.242,0.143,2.305,0.646,Critical
70,2026-01-03T22:00:00.000Z,korba-west-bench,zone-a,EX-201,0.86,0,0.24,0.16,0.57,16,-62,63,0,0.471,0.138,0.096,Normal
71,2026-01-03T23:00:00.000Z,singareni-s4,zone-b,PZ-401,3.55,0.59,6.89,1.11,3.99,73,-63,88,0.714,0.159,2.591,0.686,Critical
72,2026-01-04T00:00:00.000Z,jharia-open-pit,zone-b,PZ-401,0.07,0.21,1.17,0,1.02,36,-69,99,0.021,0,0.025,0.152,Normal
73,2026-01-04T01:00:00.000Z,singareni-s4,zone-b,EX-201,0.57,0.14,0,0.16,0.53,26,-78,89,0.036,1.6,0.148,0.065,Normal
74,2026-01-04T02:00:00.000Z,raniganj-south-slope,zone-d,EX-201,1.7,0.34,3.9,0.38,2.07,49,-79,63,0.163,0.095,0.833,0.38,Warning
75,2026-01-04T03:00:00.000Z,korba-west-bench,zone-a,EX-201,0.63,0.23,1.89,0.21,1.39,17,-68,94,0.071,0.106,0.107,0.142,Normal
76,2026-01-04T04:00:00.000Z,singareni-s4,zone-d,PZ-401,0.67,0.07,0,0.29,0.43,36,-78,68,0.027,2.9,0.241,0.044,Normal
77,2026-01-04T05:00:00.000Z,raniganj-south-slope,zone-d,EX-201,0.58,0.05,1.71,0,0.78,10,-78,75,0.005,0,0.058,0.162,Normal
78,2026-01-04T06:00:00.000Z,korba-west-bench,zone-d,PZ-401,0.59,0.28,2.65,0.3,0.15,23,-73,91,0.112,0.109,0.136,0.152,Normal
79,2026-01-04T07:00:00.000Z,jharia-open-pit,zone-a,PZ-401,3.11,0.81,8.35,1.32,2.72,82,-79,67,1.15,0.156,2.55,0.603,Critical
80,2026-01-04T08:00:00.000Z,singareni-s4,zone-c,TL-301,0,0,0.29,0.19,1.81,30,-79,92,0,0.487,0,0.042,Normal
81,2026-01-04T09:00:00.000Z,korba-west-bench,zone-b,TL-301,0.65,0,0.1,0,0.98,22,-65,79,0,0,0.143,0.12,Normal
82,2026-01-04T10:00:00.000Z,jharia-open-pit,zone-b,SN-101,0.48,0.09,0.74,0.21,0,39,-72,68,0.028,0.25,0.187,0.111,Normal
83,2026-01-04T11:00:00.000Z,raniganj-south-slope,zone-a,EX-201,1.65,0.49,4.04,0.62,2.3,50,-78,91,0.353,0.15,0.825,0.38,Warning
84,2026-01-04T12:00:00.000Z,singareni-s4,zone-b,SN-101,0.67,0.17,0.18,0,0.26,23,-66,79,0.017,0,0.154,0.073,Normal
85,2026-01-04T13:00:00.000Z,korba-west-bench,zone-b,EX-201,3.64,0.9,7.12,1.03,4.1,82,-68,63,1.017,0.143,2.985,0.622,Critical
86,2026-01-04T14:00:00.000Z,singareni-s4,zone-a,PZ-401,0.62,0.16,0,0.04,0.96,28,-63,70,0.022,0.4,0.174,0.178,Normal
87,2026-01-04T15:00:00.000Z,jharia-open-pit,zone-a,EX-201,0,0.07,0,0.1,0,22,-79,92,0.014,1,0,0.01,Normal
88,2026-01-04T16:00:00.000Z,korba-west-bench,zone-c,PZ-401,0.03,0.01,0.12,0.16,1.02,34,-71,97,0.003,0.727,0.01,0.099,Normal
89,2026-01-04T17:00:00.000Z,singareni-s4,zone-a,TL-301,0,0.22,2.72,0.16,0.96,12,-77,95,0.057,0.057,0,0.151,Normal
90,2026-01-04T18:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,0.37,0.01,0.55,0.05,1.26,11,-77,89,0.002,0.077,0.041,0.087,Normal
91,2026-01-04T19:00:00.000Z,raniganj-south-slope,zone-d,TL-301,1.33,0.45,4.25,0.67,1.31,54,-78,93,0.347,0.154,0.718,0.332,Warning
92,2026-01-04T20:00:00.000Z,raniganj-south-slope,zone-d,TL-301,1.86,0.25,3.31,0.59,1.46,43,-81,93,0.172,0.173,0.8,0.258,Normal
93,2026-01-04T21:00:00.000Z,raniganj-south-slope,zone-c,EX-201,3.61,0.82,7.33,1.29,3.67,77,-80,98,1.14,0.174,2.78,0.715,Critical
94,2026-01-04T22:00:00.000Z,singareni-s4,zone-b,PZ-401,1.27,0.13,3.03,0.34,2.14,43,-61,77,0.057,0.109,0.546,0.208,Normal
95,2026-01-04T23:00:00.000Z,jharia-open-pit,zone-b,SN-101,0.05,0.03,0.59,0,0.69,38,-63,99,0.003,0,0.019,0.078,Normal
96,2026-01-05T00:00:00.000Z,jharia-open-pit,zone-c,PZ-401,2.25,0.28,4.32,0.47,2.13,33,-67,73,0.16,0.106,0.743,0.378,Warning
97,2026-01-05T01:00:00.000Z,jharia-open-pit,zone-b,TL-301,0,0.01,0,0.33,0.31,30,-73,89,0.004,3.3,0,0.051,Normal
98,2026-01-05T02:00:00.000Z,jharia-open-pit,zone-d,TL-301,0.18,0.1,1.92,0.03,0.53,25,-85,79,0.013,0.015,0.045,0.057,Normal
99,2026-01-05T03:00:00.000Z,korba-west-bench,zone-d,TL-301,1.11,0.2,3.03,0.61,1.88,62,-71,87,0.142,0.195,0.688,0.34,Warning
100,2026-01-05T04:00:00.000Z,singareni-s4,zone-b,SN-101,0,0.33,0.33,0.07,0.65,35,-73,72,0.056,0.163,0,0.095,Normal
101,2026-01-05T05:00:00.000Z,singareni-s4,zone-c,PZ-401,0.28,0,0.83,0.35,0.06,10,-76,100,0,0.376,0.028,0.137,Normal
102,2026-01-05T06:00:00.000Z,singareni-s4,zone-b,PZ-401,0.52,0.21,1.72,0.03,1.04,24,-67,99,0.027,0.016,0.125,0.134,Normal
103,2026-01-05T07:00:00.000Z,raniganj-south-slope,zone-a,SN-101,0.47,0,0.76,0,0.73,35,-82,72,0,0,0.164,0.06,Normal
104,2026-01-05T08:00:00.000Z,korba-west-bench,zone-b,EX-201,0.03,0.26,1.09,0.18,0.53,38,-61,81,0.073,0.151,0.011,0.122,Normal
105,2026-01-05T09:00:00.000Z,jharia-open-pit,zone-b,PZ-401,0.85,0.26,0.79,0,1.56,20,-81,95,0.026,0,0.17,0.132,Normal
106,2026-01-05T10:00:00.000Z,raniganj-south-slope,zone-c,TL-301,1.02,0.21,3.53,0.33,1.04,33,-72,71,0.09,0.091,0.337,0.257,Normal
107,2026-01-05T11:00:00.000Z,jharia-open-pit,zone-b,TL-301,0.96,0.17,2.33,0.62,1.19,49,-74,75,0.122,0.255,0.47,0.18,Normal
108,2026-01-05T12:00:00.000Z,singareni-s4,zone-d,EX-201,0.43,0,1.21,0.21,0,26,-76,84,0,0.16,0.112,0.127,Normal
109,2026-01-05T13:00:00.000Z,jharia-open-pit,zone-d,EX-201,2.82,0.76,8.12,1.08,3.53,69,-77,71,0.897,0.131,1.946,0.591,Critical
110,2026-01-05T14:00:00.000Z,raniganj-south-slope,zone-d,PZ-401,0.44,0.06,0.6,0,0.49,25,-76,78,0.006,0,0.11,0.097,Normal
111,2026-01-05T15:00:00.000Z,singareni-s4,zone-b,EX-201,0.4,0,2.46,0,1.51,23,-78,93,0,0,0.092,0.167,Normal
112,2026-01-05T16:00:00.000Z,korba-west-bench,zone-d,EX-201,0,0.04,1.47,0.13,0.65,24,-74,94,0.009,0.083,0,0.052,Normal
113,2026-01-05T17:00:00.000Z,jharia-open-pit,zone-a,EX-201,0.76,0.23,0.85,0,1.31,17,-73,81,0.023,0,0.129,0.148,Normal
114,2026-01-05T18:00:00.000Z,raniganj-south-slope,zone-c,TL-301,0.3,0.08,1.09,0.05,0.56,23,-63,84,0.012,0.042,0.069,0.059,Normal
115,2026-01-05T19:00:00.000Z,jharia-open-pit,zone-b,TL-301,1.08,0.38,3.36,0.41,1.78,56,-77,65,0.194,0.118,0.605,0.321,Warning
116,2026-01-05T20:00:00.000Z,korba-west-bench,zone-b,EX-201,3.21,0.74,7.24,1.2,3.54,71,-62,62,0.962,0.163,2.279,0.594,Critical
117,2026-01-05T21:00:00.000Z,raniganj-south-slope,zone-c,EX-201,0.21,0.22,0,0.01,1.12,12,-74,93,0.024,0.1,0.025,0.128,Normal
118,2026-01-05T22:00:00.000Z,korba-west-bench,zone-d,PZ-401,0.06,0.14,0.33,0.22,0.58,18,-78,75,0.045,0.512,0.011,0.077,Normal
119,2026-01-05T23:00:00.000Z,singareni-s4,zone-b,EX-201,0.7,0.27,2.03,0.17,0.44,29,-62,75,0.073,0.08,0.203,0.184,Normal
120,2026-01-06T00:00:00.000Z,raniganj-south-slope,zone-b,SN-101,0.52,0.17,1.96,0.13,0.2,21,-82,91,0.039,0.063,0.109,0.172,Normal
121,2026-01-06T01:00:00.000Z,singareni-s4,zone-d,PZ-401,0,0,1.43,0.05,0.27,22,-69,77,0,0.033,0,0.017,Normal
122,2026-01-06T02:00:00.000Z,korba-west-bench,zone-a,SN-101,1.97,0.46,2.18,0.55,1.97,39,-77,94,0.299,0.241,0.768,0.36,Warning
123,2026-01-06T03:00:00.000Z,jharia-open-pit,zone-c,PZ-401,3.71,0.92,7.95,1.36,3.28,75,-78,83,1.343,0.169,2.782,0.717,Critical
124,2026-01-06T04:00:00.000Z,jharia-open-pit,zone-a,SN-101,0,0,1.6,0.14,0.55,19,-66,87,0,0.082,0,0.051,Normal
125,2026-01-06T05:00:00.000Z,jharia-open-pit,zone-b,TL-301,1.27,0.3,2.5,0.33,1.12,54,-74,94,0.129,0.127,0.686,0.271,Normal
126,2026-01-06T06:00:00.000Z,korba-west-bench,zone-c,PZ-401,0.57,0.1,0.58,0.03,0.1,41,-77,77,0.013,0.044,0.234,0.079,Normal
127,2026-01-06T07:00:00.000Z,korba-west-bench,zone-c,PZ-401,0.11,0,1.79,0,0.48,25,-63,90,0,0,0.028,0.031,Normal
128,2026-01-06T08:00:00.000Z,singareni-s4,zone-a,EX-201,3.42,0.86,8.3,1.11,3.14,70,-78,83,1.041,0.132,2.394,0.628,Critical
129,2026-01-06T09:00:00.000Z,raniganj-south-slope,zone-c,EX-201,1.18,0.31,3,0.67,1.73,52,-81,98,0.239,0.216,0.614,0.31,Warning
130,2026-01-06T10:00:00.000Z,jharia-open-pit,zone-d,TL-301,0,0.13,0,0.15,1.42,16,-80,93,0.033,1.5,0,0.089,Normal
131,2026-01-06T11:00:00.000Z,korba-west-bench,zone-c,EX-201,1.35,0.32,2.65,0.34,1.22,36,-68,68,0.141,0.124,0.486,0.213,Normal
132,2026-01-06T12:00:00.000Z,korba-west-bench,zone-b,SN-101,0.61,0.06,1.26,0.24,0.33,31,-69,99,0.02,0.176,0.189,0.111,Normal
133,2026-01-06T13:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,3.43,0.84,7.37,1.1,2.57,68,-78,77,1.008,0.147,2.332,0.614,Critical
134,2026-01-06T14:00:00.000Z,raniganj-south-slope,zone-c,EX-201,1.55,0.22,3.24,0.43,2.55,63,-82,93,0.117,0.129,0.977,0.286,Normal
135,2026-01-06T15:00:00.000Z,singareni-s4,zone-b,PZ-401,3.22,0.93,8.12,1.3,2.71,71,-76,79,1.302,0.158,2.286,0.636,Critical
136,2026-01-06T16:00:00.000Z,singareni-s4,zone-d,SN-101,1.75,0.37,3.72,0.45,1.82,54,-63,90,0.204,0.118,0.945,0.348,Warning
137,2026-01-06T17:00:00.000Z,korba-west-bench,zone-a,SN-101,3.68,0.89,6.88,1.34,3.08,61,-69,86,1.282,0.192,2.245,0.69,Critical
138,2026-01-06T18:00:00.000Z,singareni-s4,zone-a,PZ-401,1.94,0.31,3.68,0.33,2.49,54,-62,91,0.133,0.087,1.048,0.34,Warning
139,2026-01-06T19:00:00.000Z,raniganj-south-slope,zone-c,EX-201,0.69,0.03,1.09,0,0.54,33,-73,92,0.003,0,0.228,0.108,Normal
140,2026-01-06T20:00:00.000Z,raniganj-south-slope,zone-b,PZ-401,0.08,0.1,0.49,0.22,0.46,19,-76,79,0.032,0.373,0.015,0.081,Normal
141,2026-01-06T21:00:00.000Z,korba-west-bench,zone-d,SN-101,0,0.06,2.38,0.24,1.28,26,-84,61,0.02,0.097,0,0.106,Normal
142,2026-01-06T22:00:00.000Z,singareni-s4,zone-b,PZ-401,0.83,0.13,0.88,0.2,0,36,-67,76,0.039,0.204,0.299,0.134,Normal
143,2026-01-06T23:00:00.000Z,korba-west-bench,zone-b,PZ-401,0.44,0.17,0.24,0.08,0,16,-81,91,0.031,0.235,0.07,0.098,Normal
144,2026-01-07T00:00:00.000Z,singareni-s4,zone-b,SN-101,3.75,0.89,6.94,1.1,3.09,74,-84,63,1.068,0.156,2.775,0.639,Critical
145,2026-01-07T01:00:00.000Z,raniganj-south-slope,zone-b,EX-201,1.76,0.33,3.33,0.37,1.25,38,-67,88,0.155,0.108,0.669,0.248,Normal
146,2026-01-07T02:00:00.000Z,singareni-s4,zone-d,TL-301,0.3,0.24,1.92,0.23,1.13,34,-74,61,0.079,0.114,0.102,0.137,Normal
147,2026-01-07T03:00:00.000Z,singareni-s4,zone-b,EX-201,1.15,0.28,2.36,0.62,1.49,63,-74,81,0.202,0.252,0.724,0.222,Normal
148,2026-01-07T04:00:00.000Z,jharia-open-pit,zone-c,EX-201,0.09,0.38,1.83,0,0.78,11,-74,78,0.038,0,0.01,0.107,Normal
149,2026-01-07T05:00:00.000Z,korba-west-bench,zone-a,EX-201,0.98,0.14,0.46,0.31,0.44,25,-74,88,0.057,0.554,0.245,0.113,Normal
150,2026-01-07T06:00:00.000Z,jharia-open-pit,zone-c,SN-101,1.96,0.47,4.04,0.38,1.77,57,-79,68,0.226,0.092,1.117,0.346,Warning
151,2026-01-07T07:00:00.000Z,jharia-open-pit,zone-d,EX-201,0.23,0.11,0.22,0.19,0.49,27,-73,97,0.032,0.594,0.062,0.034,Normal
152,2026-01-07T08:00:00.000Z,jharia-open-pit,zone-a,EX-201,0,0,1.02,0.31,1.71,36,-60,74,0,0.277,0,0.201,Normal
153,2026-01-07T09:00:00.000Z,jharia-open-pit,zone-b,SN-101,0.75,0.06,0.04,0.01,1.4,26,-78,92,0.007,0.071,0.195,0.118,Normal
154,2026-01-07T10:00:00.000Z,singareni-s4,zone-b,EX-201,1.73,0.47,2.55,0.5,1.31,34,-67,83,0.282,0.189,0.588,0.297,Normal
155,2026-01-07T11:00:00.000Z,jharia-open-pit,zone-b,PZ-401,4.02,0.98,7.08,1.12,3.48,59,-71,96,1.196,0.156,2.372,0.659,Critical
156,2026-01-07T12:00:00.000Z,jharia-open-pit,zone-d,SN-101,0.52,0.06,0.32,0,0.66,28,-78,92,0.006,0,0.146,0.109,Normal
157,2026-01-07T13:00:00.000Z,korba-west-bench,zone-d,SN-101,0.87,0.16,0,0.12,0.8,28,-67,77,0.035,1.2,0.244,0.136,Normal
158,2026-01-07T14:00:00.000Z,singareni-s4,zone-c,PZ-401,0.52,0,0.39,0.04,0.01,20,-76,61,0,0.082,0.104,-0.002,Normal
159,2026-01-07T15:00:00.000Z,jharia-open-pit,zone-b,SN-101,3.61,0.87,6.12,1.05,3.73,79,-70,98,1.001,0.169,2.852,0.637,Critical
160,2026-01-07T16:00:00.000Z,singareni-s4,zone-b,SN-101,0.52,0.04,0.16,0.21,0.43,12,-79,94,0.012,0.808,0.062,0.106,Normal
161,2026-01-07T17:00:00.000Z,singareni-s4,zone-c,PZ-401,2.93,1.11,7.48,1.43,3.34,66,-75,95,1.698,0.189,1.934,0.699,Critical
162,2026-01-07T18:00:00.000Z,raniganj-south-slope,zone-d,TL-301,0,0.21,0,0.1,1.47,41,-70,99,0.042,1,0,0.152,Normal
163,2026-01-07T19:00:00.000Z,raniganj-south-slope,zone-d,TL-301,1.32,0.42,4.32,0.34,1.8,62,-76,85,0.185,0.077,0.818,0.288,Normal
164,2026-01-07T20:00:00.000Z,singareni-s4,zone-c,EX-201,3.61,0.76,8.71,1.19,2.95,71,-63,78,0.98,0.135,2.563,0.607,Critical
165,2026-01-07T21:00:00.000Z,korba-west-bench,zone-c,PZ-401,1.16,0.13,3.69,0.44,2.34,50,-78,69,0.07,0.116,0.58,0.277,Normal
