log_id,tiltmeter_id,depth_m,x_axis_tilt_deg,y_axis_tilt_deg,temperature_c,battery_v
61,TLM-DEEP-15,90.0,1.537,0.656,34.6,3.86
62,TLM-DEEP-16,130.0,2.873,1.352,31.6,3.81
63,TLM-DEEP-17,170.0,3.196,1.411,35.1,3.90
64,TLM-DEEP-10,210.0,2.661,2.423,32.6,3.80
65,TLM-DEEP-11,50.0,0.716,1.515,34.6,3.72
66,TLM-DEEP-12,90.0,0.322,0.682,28.7,4.05
67,TLM-DEEP-13,130.0,1.150,0.583,32.8,3.86
68,TLM-DEEP-14,170.0,0.817,0.248,33.4,3.99
69,TLM-DEEP-15,210.0,0.008,0.916,35.7,3.98
70,TLM-DEEP-16,50.0,0.659,0.471,34.5,3.99
71,TLM-DEEP-17,90.0,3.416,0.952,30.5,4.16
72,TLM-DEEP-10,130.0,0.432,1.038,29.4,3.63
73,TLM-DEEP-11,170.0,3.022,2.554,36.2,3.86
74,TLM-DEEP-12,210.0,0.824,0.247,35.4,3.72
75,TLM-DEEP-13,50.0,1.692,0.174,31.6,3.41
76,TLM-DEEP-14,90.0,2.991,2.077,32.9,3.75
77,TLM-DEEP-15,130.0,2.180,1.381,29.4,3.59
78,TLM-DEEP-16,170.0,3.155,2.591,36.2,3.44
79,TLM-DEEP-17,210.0,0.041,1.417,32.8,3.41
80,TLM-DEEP-10,50.0,2.004,0.543,29.2,4.04
81,TLM-DEEP-11,90.0,2.709,2.705,36.3,3.41
82,TLM-DEEP-12,130.0,2.332,0.755,30.8,3.74
83,TLM-DEEP-13,170.0,0.909,1.058,33.5,3.52
84,TLM-DEEP-14,210.0,3.431,1.443,35.1,3.94
85,TLM-DEEP-15,50.0,0.305,2.689,34.0,4.11
86,TLM-DEEP-16,90.0,1.267,1.985,31.3,4.13
87,TLM-DEEP-17,130.0,2.700,2.766,31.4,3.83
88,TLM-DEEP-10,170.0,0.121,0.870,34.6,4.03
89,TLM-DEEP-11,210.0,0.997,1.313,30.9,3.70
90,TLM-DEEP-12,50.0,1.898,2.493,35.7,4.18
91,TLM-DEEP-13,90.0,1.222,0.998,29.8,3.75
92,TLM-DEEP-14,130.0,0.910,0.932,35.8,3.60
93,TLM-DEEP-15,170.0,1.257,0.447,31.9,3.64
94,TLM-DEEP-16,210.0,2.799,0.709,31.4,3.57
95,TLM-DEEP-17,50.0,0.634,0.704,35.6,4.04
96,TLM-DEEP-10,90.0,1.761,0.490,31.0,3.45
97,TLM-DEEP-11,130.0,1.193,2.169,31.8,3.63
98,TLM-DEEP-12,170.0,3.477,0.745,29.7,3.92
99,TLM-DEEP-13,210.0,1.164,2.090,28.8,3.79
100,TLM-DEEP-14,50.0,1.517,2.204,33.0,3.87
101,TLM-DEEP-15,90.0,3.075,0.722,34.0,3.86
102,TLM-DEEP-16,130.0,1.074,2.362,29.7,3.94
103,TLM-DEEP-17,170.0,2.187,0.597,32.7,3.77
104,TLM-DEEP-10,210.0,0.373,0.150,34.0,3.83
105,TLM-DEEP-11,50.0,2.436,2.786,31.3,3.82
106,TLM-DEEP-12,90.0,1.666,0.225,29.6,4.15
107,TLM-DEEP-13,130.0,1.813,2.205,34.7,4.13
108,TLM-DEEP-14,170.0,1.276,0.637,33.5,3.54
109,TLM-DEEP-15,210.0,1.952,1.573,35.4,3.99
110,TLM-DEEP-16,50.0,1.834,2.380,36.4,3.65
111,TLM-DEEP-17,90.0,1.054,2.323,34.2,3.99
112,TLM-DEEP-10,130.0,0.260,1.753,35.4,3.99
113,TLM-DEEP-11,170.0,1.477,1.917,29.5,3.83
114,TLM-DEEP-12,210.0,2.963,1.547,34.7,3.93
115,TLM-DEEP-13,50.0,3.368,2.782,28.8,3.47
116,TLM-DEEP-14,90.0,3.157,1.689,33.6,3.51
117,TLM-DEEP-15,130.0,3.054,2.687,32.4,3.45
118,TLM-DEEP-16,170.0,0.590,2.389,29.2,3.70
119,TLM-DEEP-17,210.0,1.321,0.105,36.3,3.90
120,TLM-DEEP-10,50.0,1.752,2.407,31.9,4.00
121,TLM-DEEP-11,90.0,2.158,1.881,33.6,3.61
122,TLM-DEEP-12,130.0,2.944,1.527,34.6,4.08
123,TLM-DEEP-13,170.0,0.639,0.027,31.6,3.74
124,TLM-DEEP-14,210.0,2.352,2.547,29.6,3.45
125,TLM-DEEP-15,50.0,3.155,0.829,33.5,4.10
126,TLM-DEEP-16,90.0,3.428,0.060,32.5,4.11
127,TLM-DEEP-17,130.0,1.297,0.219,30.7,3.49
128,TLM-DEEP-10,170.0,1.326,2.373,35.7,3.53
129,TLM-DEEP-11,210.0,1.719,1.194,30.8,3.76
130,TLM-DEEP-12,50.0,1.134,0.491,32.6,3.96
131,TLM-DEEP-13,90.0,3.003,0.400,35.0,3.94
132,TLM-DEEP-14,130.0,2.166,0.736,29.0,3.69
133,TLM-DEEP-15,170.0,0.023,2.477,34.1,4.17
134,TLM-DEEP-16,210.0,0.897,1.187,30.2,3.86
135,TLM-DEEP-17,50.0,0.121,1.538,30.5,3.61
136,TLM-DEEP-10,90.0,2.680,1.088,28.9,3.48
137,TLM-DEEP-11,130.0,0.741,0.499,28.8,4.11
138,TLM-DEEP-12,170.0,0.198,1.179,31.0,3.78
139,TLM-DEEP-13,210.0,0.003,1.963,31.1,3.58
140,TLM-DEEP-14,50.0,1.832,1.574,31.5,3.47
141,TLM-DEEP-15,90.0,0.521,1.714,30.6,3.76
142,TLM-DEEP-16,130.0,2.326,1.105,36.1,3.75
143,TLM-DEEP-17,170.0,1.893,1.887,30.8,3.87
144,TLM-DEEP-10,210.0,2.624,2.233,32.6,3.52
145,TLM-DEEP-11,50.0,1.218,2.471,31.0,3.51
146,TLM-DEEP-12,90.0,1.710,1.781,32.5,3.55
147,TLM-DEEP-13,130.0,1.449,2.170,28.5,3.70
148,TLM-DEEP-14,170.0,2.494,1.411,33.7,3.44
149,TLM-DEEP-15,210.0,3.199,1.776,34.9,3.64
150,TLM-DEEP-16,50.0,2.604,1.335,34.2,3.59
151,TLM-DEEP-17,90.0,1.063,0.882,31.6,3.61
152,TLM-DEEP-10,130.0,2.788,0.898,30.3,4.15
153,TLM-DEEP-11,170.0,3.343,1.670,34.9,3.41
154,TLM-DEEP-12,210.0,1.376,2.680,31.4,4.15
155,TLM-DEEP-13,50.0,0.077,0.659,30.2,3.74
156,TLM-DEEP-14,90.0,1.786,1.113,33.6,3.45
157,TLM-DEEP-15,130.0,0.048,0.565,36.2,4.09
158,TLM-DEEP-16,170.0,2.872,1.119,32.2,3.96
159,TLM-DEEP-17,210.0,1.877,0.108,31.1,3.65
160,TLM-DEEP-10,50.0,3.145,2.020,34.8,3.89
161,TLM-DEEP-11,90.0,2.145,0.365,36.4,3.56
162,TLM-DEEP-12,130.0,3.047,2.068,31.1,4.16
163,TLM-DEEP-13,170.0,0.742,0.767,32.1,3.57
164,TLM-DEEP-14,210.0,2.670,2.041,30.8,3.68
165,TLM-DEEP-15,50.0,0.655,0.460,31.1,3.72
166,TLM-DEEP-16,90.0,2.713,0.417,34.7,4.08
167,TLM-DEEP-17,130.0,2.782,2.747,29.8,3.62
168,TLM-DEEP-10,170.0,2.069,0.785,34.0,3.63
169,TLM-DEEP-11,210.0,3.355,0.582,31.5,3.49
170,TLM-DEEP-12,50.0,2.581,2.299,29.0,3.90
171,TLM-DEEP-13,90.0,3.380,1.922,31.0,3.78
172,TLM-DEEP-14,130.0,2.139,1.728,29.5,3.46
173,TLM-DEEP-15,170.0,0.924,2.485,30.4,3.48
174,TLM-DEEP-16,210.0,1.188,1.248,36.2,3.67
175,TLM-DEEP-17,50.0,0.420,2.162,31.5,3.75
176,TLM-DEEP-10,90.0,3.276,0.973,30.4,4.20
177,TLM-DEEP-11,130.0,3.359,1.373,30.2,3.77
178,TLM-DEEP-12,170.0,0.888,1.803,35.2,4.00
179,TLM-DEEP-13,210.0,0.707,2.536,34.3,3.82
180,TLM-DEEP-14,50.0,2.802,0.403,34.4,3.90
181,TLM-DEEP-15,90.0,1.295,2.491,35.1,4.14
182,TLM-DEEP-16,130.0,0.252,1.499,31.9,4.15
183,TLM-DEEP-17,170.0,2.595,2.497,29.0,4.09
184,TLM-DEEP-10,210.0,1.834,2.284,29.4,3.95
185,TLM-DEEP-11,50.0,0.434,2.271,34.7,3.69
186,TLM-DEEP-12,90.0,0.207,1.975,28.6,3.57
187,TLM-DEEP-13,130.0,2.284,1.566,29.5,3.97
188,TLM-DEEP-14,170.0,1.842,0.592,32.7,3.65
189,TLM-DEEP-15,210.0,3.281,1.108,33.6,3.73
190,TLM-DEEP-16,50.0,2.902,0.315,29.5,3.85
191,TLM-DEEP-17,90.0,1.113,0.426,32.4,3.60
192,TLM-DEEP-10,130.0,1.711,0.790,33.5,3.55
193,TLM-DEEP-11,170.0,0.611,0.767,30.0,3.44
194,TLM-DEEP-12,210.0,0.016,2.545,34.5,3.85
195,TLM-DEEP-13,50.0,2.421,1.614,36.4,3.94
196,TLM-DEEP-14,90.0,1.787,0.968,35.9,3.67
197,TLM-DEEP-15,130.0,2.137,1.418,29.5,3.91
198,TLM-DEEP-16,170.0,1.231,2.388,28.8,3.82
199,TLM-DEEP-17,210.0,1.488,0.744,34.0,3.76
200,TLM-DEEP-10,50.0,3.141,0.688,32.5,3.57
201,TLM-DEEP-11,90.0,1.596,2.623,36.2,3.76
202,TLM-DEEP-12,130.0,1.685,0.496,33.5,3.42
203,TLM-DEEP-13,170.0,0.520,0.099,31.9,3.66
204,TLM-DEEP-14,210.0,0.809,2.547,33.6,4.08
205,TLM-DEEP-15,50.0,1.406,1.740,29.5,3.53
206,TLM-DEEP-16,90.0,2.831,0.626,35.4,3.43
207,TLM-DEEP-17,130.0,1.555,0.074,32.1,3.66
208,TLM-DEEP-10,170.0,2.818,0.427,33.9,3.95
209,TLM-DEEP-11,210.0,0.171,0.788,28.7,3.75
210,TLM-DEEP-12,50.0,2.119,1.696,34.3,4.12
211,TLM-DEEP-13,90.0,0.644,0.565,31.6,3.48
212,TLM-DEEP-14,130.0,0.234,1.161,30.7,3.57
213,TLM-DEEP-15,170.0,0.913,0.458,29.3,4.17
214,TLM-DEEP-16,210.0,1.416,0.518,30.3,3.65
215,TLM-DEEP-17,50.0,0.699,1.262,35.2,3.71
216,TLM-DEEP-10,90.0,3.263,2.752,29.8,3.92
217,TLM-DEEP-11,130.0,3.211,2.267,34.6,3.97
218,TLM-DEEP-12,170.0,3.045,2.325,31.5,3.70
219,TLM-DEEP-13,210.0,2.351,1.736,33.3,3.66
220,TLM-DEEP-14,50.0,2.662,2.514,29.4,3.75
221,TLM-DEEP-15,90.0,0.058,0.520,33.5,3.99
222,TLM-DEEP-16,130.0,2.965,0.757,30.6,3.42
223,TLM-DEEP-17,170.0,2.267,1.634,29.5,4.08
224,TLM-DEEP-10,210.0,2.189,0.157,35.6,3.48
225,TLM-DEEP-11,50.0,1.090,2.148,36.5,3.47
226,TLM-DEEP-12,90.0,0.138,2.538,35.2,3.96
227,TLM-DEEP-13,130.0,2.082,2.648,34.8,3.42
228,TLM-DEEP-14,170.0,0.213,1.085,34.1,3.95
229,TLM-DEEP-15,210.0,2.566,2.061,34.4,3.84
230,TLM-DEEP-16,50.0,0.838,2.476,35.3,3.82
231,TLM-DEEP-17,90.0,1.763,2.118,31.3,3.82
232,TLM-DEEP-10,130.0,2.125,2.688,31.7,4.19
233,TLM-DEEP-11,170.0,3.278,1.281,29.2,4.15
234,TLM-DEEP-12,210.0,0.644,1.347,33.0,3.72
235,TLM-DEEP-13,50.0,1.901,2.237,36.1,3.75
236,TLM-DEEP-14,90.0,3.236,2.284,34.4,3.87
237,TLM-DEEP-15,130.0,2.485,0.803,33.9,4.08
238,TLM-DEEP-16,170.0,1.354,1.294,36.2,3.62
239,TLM-DEEP-17,210.0,0.987,0.027,34.0,4.13
240,TLM-DEEP-10,50.0,3.428,2.025,32.9,4.12
241,TLM-DEEP-11,90.0,1.875,2.575,31.4,3.58
242,TLM-DEEP-12,130.0,1.040,2.550,34.7,3.94
243,TLM-DEEP-13,170.0,1.140,2.473,28.9,3.97
244,TLM-DEEP-14,210.0,1.755,2.152,35.0,4.02
245,TLM-DEEP-15,50.0,2.323,0.409,33.7,4.11
246,TLM-DEEP-16,90.0,3.435,0.944,30.8,3.43
247,TLM-DEEP-17,130.0,1.048,1.022,31.8,4.01
248,TLM-DEEP-10,170.0,0.600,1.689,31.8,4.09
249,TLM-DEEP-11,210.0,1.068,1.353,33.7,3.72
250,TLM-DEEP-12,50.0,2.188,2.040,34.5,3.68
251,TLM-DEEP-13,90.0,1.941,2.161,35.4,3.79
252,TLM-DEEP-14,130.0,2.055,1.960,29.2,3.73
253,TLM-DEEP-15,170.0,0.558,1.163,32.0,4.11
254,TLM-DEEP-16,210.0,0.422,2.551,33.0,4.17
255,TLM-DEEP-17,50.0,2.066,0.580,31.6,3.79
256,TLM-DEEP-10,90.0,0.263,1.729,31.9,3.65
257,TLM-DEEP-11,130.0,3.175,1.722,35.3,4.11
258,TLM-DEEP-12,170.0,1.718,1.253,28.5,3.85
259,TLM-DEEP-13,210.0,1.348,2.430,29.3,4.04
260,TLM-DEEP-14,50.0,1.208,2.690,34.7,3.72
261,TLM-DEEP-15,90.0,0.474,1.668,35.5,4.17
262,TLM-DEEP-16,130.0,1.415,2.417,34.2,3.69
263,TLM-DEEP-17,170.0,1.470,0.555,36.2,3.44
264,TLM-DEEP-10,210.0,0.389,0.908,31.4,3.51
265,TLM-DEEP-11,50.0,3.287,0.000,36.2,4.02
266,TLM-DEEP-12,90.0,0.881,2.174,34.8,3.42
267,TLM-DEEP-13,130.0,1.424,2.619,36.2,3.96
268,TLM-DEEP-14,170.0,1.001,1.617,33.4,3.43
269,TLM-DEEP-15,210.0,1.942,0.269,32.5,4.14
270,TLM-DEEP-16,50.0,1.094,0.262,34.8,3.96
271,TLM-DEEP-17,90.0,1.756,2.366,31.0,3.61
272,TLM-DEEP-10,130.0,3.001,1.856,29.2,3.96
273,TLM-DEEP-11,170.0,1.662,2.742,29.4,3.86
274,TLM-DEEP-12,210.0,0.208,1.081,36.0,3.49
275,TLM-DEEP-13,50.0,0.606,1.939,33.2,3.74
276,TLM-DEEP-14,90.0,2.551,0.298,30.5,3.56
277,TLM-DEEP-15,130.0,1.866,1.339,36.0,3.67
278,TLM-DEEP-16,170.0,2.274,0.394,30.9,3.47
279,TLM-DEEP-17,210.0,0.291,0.474,33.0,3.82
280,TLM-DEEP-10,50.0,1.913,0.958,35.5,4.05
281,TLM-DEEP-11,90.0,3.206,0.824,32.7,3.88
282,TLM-DEEP-12,130.0,2.689,0.242,30.1,4.20
283,TLM-DEEP-13,170.0,2.932,2.745,31.6,3.83
284,TLM-DEEP-14,210.0,2.494,0.289,29.5,3.55
285,TLM-DEEP-15,50.0,1.854,0.657,36.2,3.84
286,TLM-DEEP-16,90.0,1.285,1.607,29.8,3.99
287,TLM-DEEP-17,130.0,1.529,0.526,32.0,3.64
288,TLM-DEEP-10,170.0,1.687,0.879,35.0,3.70
289,TLM-DEEP-11,210.0,2.780,0.768,32.5,3.77
290,TLM-DEEP-12,50.0,0.920,0.939,33.8,3.68
291,TLM-DEEP-13,90.0,1.825,0.605,29.3,3.52
292,TLM-DEEP-14,130.0,0.556,1.359,31.6,3.84
293,TLM-DEEP-15,170.0,0.483,1.776,31.7,3.87
294,TLM-DEEP-16,210.0,0.428,1.679,34.9,3.74
295,TLM-DEEP-17,50.0,0.224,0.612,34.6,3.61
296,TLM-DEEP-10,90.0,2.989,2.000,36.3,3.68
297,TLM-DEEP-11,130.0,2.507,0.068,29.4,3.43
298,TLM-DEEP-12,170.0,0.034,0.566,32.6,3.49
299,TLM-DEEP-13,210.0,0.507,0.793,31.4,3.47
300,TLM-DEEP-14,50.0,2.916,1.060,33.4,4.08
301,TLM-DEEP-15,90.0,2.762,0.059,35.8,3.85
302,TLM-DEEP-16,130.0,1.873,2.093,29.8,4.12
303,TLM-DEEP-17,170.0,0.018,1.911,31.7,3.86
304,TLM-DEEP-10,210.0,2.107,1.228,35.4,3.45
305,TLM-DEEP-11,50.0,2.653,1.598,31.0,3.65
306,TLM-DEEP-12,90.0,1.667,0.871,29.1,4.07
307,TLM-DEEP-13,130.0,0.193,2.225,35.9,3.78
308,TLM-DEEP-14,170.0,0.854,0.275,32.4,3.67
309,TLM-DEEP-15,210.0,1.381,0.301,32.6,3.96
310,TLM-DEEP-16,50.0,1.988,1.078,32.7,3.74
311,TLM-DEEP-17,90.0,2.657,1.388,34.0,3.62
312,TLM-DEEP-10,130.0,2.184,0.480,30.6,3.56
313,TLM-DEEP-11,170.0,2.250,2.704,28.8,4.19
314,TLM-DEEP-12,210.0,1.466,2.528,33.5,3.99
315,TLM-DEEP-13,50.0,0.531,1.254,32.9,3.71
316,TLM-DEEP-14,90.0,2.774,2.641,36.1,3.54
317,TLM-DEEP-15,130.0,3.139,1.025,29.3,4.18
318,TLM-DEEP-16,170.0,0.540,1.243,34.5,4.13
319,TLM-DEEP-17,210.0,3.413,2.382,30.9,3.88
320,TLM-DEEP-10,50.0,1.881,2.419,31.9,3.49
321,TLM-DEEP-11,90.0,2.789,1.731,30.7,3.66
322,TLM-DEEP-12,130.0,1.983,1.873,34.8,4.00
323,TLM-DEEP-13,170.0,2.556,2.049,34.1,3.62
324,TLM-DEEP-14,210.0,3.150,2.517,34.1,3.70
325,TLM-DEEP-15,50.0,1.281,0.458,29.5,3.46
326,TLM-DEEP-16,90.0,2.718,1.711,31.7,3.87
327,TLM-DEEP-17,130.0,0.957,2.147,34.1,4.17
328,TLM-DEEP-10,170.0,0.954,1.038,35.5,3.98
329,TLM-DEEP-11,210.0,0.602,1.765,31.7,3.89
330,TLM-DEEP-12,50.0,3.272,0.945,33.3,4.05
331,TLM-DEEP-13,90.0,1.344,1.208,30.6,3.71
332,TLM-DEEP-14,130.0,3.069,2.741,32.9,4.01
333,TLM-DEEP-15,170.0,0.876,2.639,36.1,3.62
334,TLM-DEEP-16,210.0,0.243,1.815,30.2,4.07
335,TLM-DEEP-17,50.0,1.269,1.607,29.4,3.40
336,TLM-DEEP-10,90.0,2.844,1.356,36.1,3.89
337,TLM-DEEP-11,130.0,1.628,2.453,31.5,3.93
338,TLM-DEEP-12,170.0,0.874,0.253,33.1,3.90
339,TLM-DEEP-13,210.0,1.931,0.874,32.0,3.52
340,TLM-DEEP-14,50.0,0.450,0.899,35.0,3.84
341,TLM-DEEP-15,90.0,0.525,1.718,31.8,4.16
342,TLM-DEEP-16,130.0,3.082,2.156,28.9,3.88
343,TLM-DEEP-17,170.0,2.982,1.300,31.0,3.94
344,TLM-DEEP-10,210.0,2.823,1.009,30.4,4.10
345,TLM-DEEP-11,50.0,2.105,2.425,34.8,4.12
346,TLM-DEEP-12,90.0,0.298,0.050,30.6,4.05
347,TLM-DEEP-13,130.0,2.539,2.474,29.7,3.73
348,TLM-DEEP-14,170.0,0.721,0.534,32.0,3.90
349,TLM-DEEP-15,210.0,2.694,2.694,33.2,3.49
350,TLM-DEEP-16,50.0,2.389,0.504,35.1,3.64
351,TLM-DEEP-17,90.0,0.148,1.349,36.0,3.97
352,TLM-DEEP-10,130.0,2.265,2.056,34.7,3.40
353,TLM-DEEP-11,170.0,3.404,2.355,34.8,4.02
354,TLM-DEEP-12,210.0,2.683,0.192,32.5,3.41
355,TLM-DEEP-13,50.0,0.812,2.710,34.1,3.83
356,TLM-DEEP-14,90.0,1.005,0.929,31.6,3.82
357,TLM-DEEP-15,130.0,0.432,0.716,29.4,4.00
358,TLM-DEEP-16,170.0,0.254,1.072,34.7,3.79
359,TLM-DEEP-17,210.0,3.449,1.409,32.8,3.77
360,TLM-DEEP-10,50.0,3.091,1.205,34.3,3.71
361,TLM-DEEP-11,90.0,2.148,2.697,29.1,3.59
362,TLM-DEEP-12,130.0,3.259,0.219,34.3,3.46
363,TLM-DEEP-13,170.0,1.592,2.114,34.3,4.16
364,TLM-DEEP-14,210.0,2.119,1.701,32.4,4.19
365,TLM-DEEP-15,50.0,2.322,2.202,29.1,3.98
366,TLM-DEEP-16,90.0,1.836,2.269,31.6,3.64
367,TLM-DEEP-17,130.0,0.299,2.775,28.5,3.98
368,TLM-DEEP-10,170.0,1.863,0.875,33.6,4.00
369,TLM-DEEP-11,210.0,2.877,0.009,35.6,4.11
370,TLM-DEEP-12,50.0,2.763,2.129,33.6,3.55
371,TLM-DEEP-13,90.0,2.239,1.519,28.5,3.73
372,TLM-DEEP-14,130.0,1.028,1.827,30.4,4.20
373,TLM-DEEP-15,170.0,2.844,0.211,29.4,3.88
374,TLM-DEEP-16,210.0,2.106,2.047,30.8,4.01
375,TLM-DEEP-17,50.0,2.536,0.087,29.9,3.62
376,TLM-DEEP-10,90.0,2.050,1.710,36.3,4.02
377,TLM-DEEP-11,130.0,2.393,2.615,31.3,3.53
378,TLM-DEEP-12,170.0,3.344,2.214,33.5,3.83
379,TLM-DEEP-13,210.0,1.284,0.593,35.0,4.02
380,TLM-DEEP-14,50.0,3.303,2.148,32.9,3.92
381,TLM-DEEP-15,90.0,2.113,2.545,33.9,4.05
382,TLM-DEEP-16,130.0,0.313,0.967,31.8,3.51
383,TLM-DEEP-17,170.0,2.353,0.672,31.3,3.92
384,TLM-DEEP-10,210.0,2.457,1.223,28.8,3.61
385,TLM-DEEP-11,50.0,0.411,2.012,32.4,3.73
386,TLM-DEEP-12,90.0,0.962,0.213,35.4,3.96
387,TLM-DEEP-13,130.0,2.013,1.495,29.8,3.48
388,TLM-DEEP-14,170.0,2.482,1.079,33.6,3.51
389,TLM-DEEP-15,210.0,2.991,1.898,30.3,3.41
390,TLM-DEEP-16,50.0,2.387,2.734,33.3,4.01
391,TLM-DEEP-17,90.0,1.427,1.953,34.9,4.04
392,TLM-DEEP-10,130.0,1.440,2.509,33.6,3.68
393,TLM-DEEP-11,170.0,0.991,2.480,36.1,3.80
394,TLM-DEEP-12,210.0,2.446,2.010,32.1,3.59
395,TLM-DEEP-13,50.0,2.151,0.353,32.2,3.45
396,TLM-DEEP-14,90.0,0.115,2.163,31.4,4.11
397,TLM-DEEP-15,130.0,0.706,1.977,33.0,3.65
398,TLM-DEEP-16,170.0,2.355,1.532,33.1,3.94
399,TLM-DEEP-17,210.0,2.106,0.593,31.0,3.57
400,TLM-DEEP-10,50.0,2.593,1.677,34.8,3.53
401,TLM-DEEP-11,90.0,1.864,1.761,36.3,3.93
402,TLM-DEEP-12,130.0,0.647,2.294,34.2,3.72
403,TLM-DEEP-13,170.0,0.687,1.870,32.3,4.03
404,TLM-DEEP-14,210.0,0.951,0.585,33.5,3.78
405,TLM-DEEP-15,50.0,1.134,0.224,33.2,4.06
406,TLM-DEEP-16,90.0,1.977,0.295,31.1,4.16
407,TLM-DEEP-17,130.0,1.327,2.655,36.0,3.53
408,TLM-DEEP-10,170.0,1.573,2.483,30.9,3.54
409,TLM-DEEP-11,210.0,3.221,1.795,29.9,3.76
410,TLM-DEEP-12,50.0,1.272,1.291,31.7,3.73
411,TLM-DEEP-13,90.0,1.997,1.405,31.0,3.45
412,TLM-DEEP-14,130.0,3.406,0.531,35.7,3.72
413,TLM-DEEP-15,170.0,0.865,0.439,31.1,3.76
414,TLM-DEEP-16,210.0,3.292,0.477,29.6,3.53
415,TLM-DEEP-17,50.0,0.374,1.011,31.9,4.19
416,TLM-DEEP-10,90.0,1.743,0.898,34.9,3.76
417,TLM-DEEP-11,130.0,1.979,0.943,33.0,4.15
418,TLM-DEEP-12,170.0,0.659,0.844,30.5,3.57
419,TLM-DEEP-13,210.0,3.371,1.634,29.2,3.66
420,TLM-DEEP-14,50.0,1.249,2.252,35.6,3.69
421,TLM-DEEP-15,90.0,3.490,0.507,36.3,3.98
