reading_id,timestamp,site_id,zone_id,sensor_id,ground_displacement_mm,displacement_rate_mm_hr,tilt_angle_deg,tilt_rate_deg_hr,crack_width_mm,crack_rate_mm_hr,vibration_ppv_mms,soil_moisture_pct,sensor_battery_pct,risk_class
57,2026-01-03T09:00:00.000Z,singareni-s4,zone-b,SN-101,0.56,0.15,0.37,0.09,0.17,0.14,0.93,20,71,Normal
58,2026-01-03T10:00:00.000Z,jharia-open-pit,zone-b,TL-301,2.70,0.04,0.25,0.08,0.20,0.10,0.83,30,87,Normal
59,2026-01-03T11:00:00.000Z,korba-west-bench,zone-d,TL-301,9.65,1.63,1.08,0.43,3.59,0.75,2.09,58,66,Warning
60,2026-01-03T12:00:00.000Z,korba-west-bench,zone-c,SN-102,3.00,0.17,0.75,0.07,0.41,0.03,0.00,17,68,Normal
61,2026-01-03T13:00:00.000Z,raniganj-south-slope,zone-d,SN-101,0.54,0.25,0.54,0.07,0.97,0.05,0.34,30,97,Normal
62,2026-01-03T14:00:00.000Z,raniganj-south-slope,zone-d,PZ-401,23.38,5.07,3.12,1.04,9.42,2.36,6.00,91,84,Critical
63,2026-01-03T15:00:00.000Z,raniganj-south-slope,zone-d,TL-301,1.05,0.06,0.25,0.11,0.20,0.10,0.50,25,87,Normal
64,2026-01-03T16:00:00.000Z,korba-west-bench,zone-a,SN-102,1.72,0.76,0.09,0.12,0.50,0.05,0.39,21,96,Normal
65,2026-01-03T17:00:00.000Z,korba-west-bench,zone-c,SN-101,5.50,1.79,2.30,0.47,2.87,0.67,1.35,47,68,Warning
66,2026-01-03T18:00:00.000Z,singareni-s4,zone-c,SN-102,0.52,0.60,0.12,0.10,1.10,0.14,0.99,38,83,Normal
67,2026-01-03T19:00:00.000Z,singareni-s4,zone-c,TL-301,1.52,0.74,0.02,0.15,0.88,0.17,0.33,24,95,Normal
68,2026-01-03T20:00:00.000Z,korba-west-bench,zone-b,PZ-401,4.27,0.68,0.41,0.01,0.82,0.00,0.86,19,82,Normal
69,2026-01-03T21:00:00.000Z,singareni-s4,zone-b,SN-102,3.61,0.32,0.56,0.09,1.48,0.06,0.54,28,95,Normal
70,2026-01-03T22:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,10.84,1.16,1.30,0.30,2.07,0.72,1.95,55,93,Warning
71,2026-01-03T23:00:00.000Z,korba-west-bench,zone-d,SN-101,2.47,0.78,0.71,0.14,0.97,0.18,0.83,26,64,Normal
72,2026-01-04T00:00:00.000Z,korba-west-bench,zone-a,SN-101,2.28,0.13,0.10,0.04,1.31,0.01,1.05,29,89,Normal
73,2026-01-04T01:00:00.000Z,korba-west-bench,zone-a,SN-102,19.40,3.29,4.43,0.96,6.62,1.50,5.04,90,89,Critical
74,2026-01-04T02:00:00.000Z,korba-west-bench,zone-b,SN-102,15.21,6.12,5.97,1.62,12.89,1.07,5.74,60,97,Critical
75,2026-01-04T03:00:00.000Z,korba-west-bench,zone-a,PZ-401,0.11,0.18,0.43,0.10,1.08,0.06,0.91,28,97,Normal
76,2026-01-04T04:00:00.000Z,korba-west-bench,zone-d,SN-101,3.62,0.24,0.38,0.01,0.50,0.19,0.65,37,70,Normal
77,2026-01-04T05:00:00.000Z,korba-west-bench,zone-b,SN-102,4.01,0.52,0.67,0.14,1.04,0.05,0.59,21,80,Normal
78,2026-01-04T06:00:00.000Z,jharia-open-pit,zone-d,SN-101,3.99,0.67,0.51,0.08,1.17,0.03,0.82,25,69,Normal
79,2026-01-04T07:00:00.000Z,jharia-open-pit,zone-a,TL-301,2.77,0.38,0.42,0.02,0.84,0.08,0.70,20,88,Normal
80,2026-01-04T08:00:00.000Z,jharia-open-pit,zone-b,PZ-401,3.94,0.24,0.64,0.04,0.99,0.18,0.06,39,83,Normal
81,2026-01-04T09:00:00.000Z,korba-west-bench,zone-c,TL-301,0.89,0.74,0.45,0.05,0.95,0.19,0.77,26,85,Normal
82,2026-01-04T10:00:00.000Z,singareni-s4,zone-d,SN-102,1.75,0.39,0.55,0.06,0.80,0.20,0.34,20,68,Normal
83,2026-01-04T11:00:00.000Z,singareni-s4,zone-c,EX-201,6.73,1.64,2.55,0.22,2.67,0.24,2.45,51,67,Warning
84,2026-01-04T12:00:00.000Z,raniganj-south-slope,zone-b,TL-301,8.58,2.06,2.56,0.25,2.63,0.62,2.94,59,66,Warning
85,2026-01-04T13:00:00.000Z,korba-west-bench,zone-a,SN-102,4.24,0.02,0.40,0.14,0.33,0.18,0.32,24,63,Normal
86,2026-01-04T14:00:00.000Z,singareni-s4,zone-d,PZ-401,5.76,2.13,2.25,0.56,2.34,0.58,1.57,62,96,Warning
87,2026-01-04T15:00:00.000Z,singareni-s4,zone-d,SN-101,1.25,0.53,0.69,0.12,1.13,0.01,0.22,34,86,Normal
88,2026-01-04T16:00:00.000Z,raniganj-south-slope,zone-c,SN-101,12.83,6.03,4.51,0.87,5.09,1.13,4.90,79,87,Critical
89,2026-01-04T17:00:00.000Z,jharia-open-pit,zone-b,EX-201,4.01,0.51,0.42,0.09,1.37,0.18,0.93,16,67,Normal
90,2026-01-04T18:00:00.000Z,jharia-open-pit,zone-c,SN-101,1.65,0.37,0.24,0.10,1.11,0.03,1.04,33,77,Normal
91,2026-01-04T19:00:00.000Z,raniganj-south-slope,zone-d,SN-101,6.92,1.70,1.35,0.50,1.63,0.43,2.40,54,63,Warning
92,2026-01-04T20:00:00.000Z,jharia-open-pit,zone-c,PZ-401,3.22,0.19,0.03,0.05,0.88,0.05,0.73,28,74,Normal
93,2026-01-04T21:00:00.000Z,jharia-open-pit,zone-a,SN-101,0.01,0.62,0.33,0.01,1.17,0.02,0.35,34,92,Normal
94,2026-01-04T22:00:00.000Z,korba-west-bench,zone-d,PZ-401,28.13,3.67,3.04,1.37,10.36,1.41,4.05,90,89,Critical
95,2026-01-04T23:00:00.000Z,jharia-open-pit,zone-a,PZ-401,0.26,0.43,0.67,0.04,0.49,0.12,0.36,38,74,Normal
96,2026-01-05T00:00:00.000Z,korba-west-bench,zone-c,PZ-401,0.84,0.06,0.12,0.02,0.71,0.10,0.88,36,80,Normal
97,2026-01-05T01:00:00.000Z,singareni-s4,zone-c,TL-301,6.84,1.08,1.26,0.31,3.65,0.30,1.32,46,62,Warning
98,2026-01-05T02:00:00.000Z,singareni-s4,zone-d,TL-301,13.02,4.35,5.81,0.60,5.27,2.47,4.43,62,87,Critical
99,2026-01-05T03:00:00.000Z,korba-west-bench,zone-c,TL-301,2.97,0.77,0.15,0.15,0.58,0.07,0.47,38,76,Normal
100,2026-01-05T04:00:00.000Z,singareni-s4,zone-c,TL-301,3.96,0.48,0.30,0.08,1.44,0.09,0.18,32,63,Normal
101,2026-01-05T05:00:00.000Z,singareni-s4,zone-d,SN-101,0.21,0.46,0.43,0.01,0.75,0.13,0.05,21,97,Normal
102,2026-01-05T06:00:00.000Z,jharia-open-pit,zone-c,TL-301,2.66,0.06,0.49,0.13,0.78,0.16,0.58,28,87,Normal
103,2026-01-05T07:00:00.000Z,korba-west-bench,zone-b,EX-201,3.25,0.57,0.78,0.12,0.11,0.01,0.89,15,94,Normal
104,2026-01-05T08:00:00.000Z,jharia-open-pit,zone-a,PZ-401,6.09,1.98,2.09,0.58,2.70,0.60,2.06,40,96,Warning
105,2026-01-05T09:00:00.000Z,jharia-open-pit,zone-c,EX-201,3.59,0.30,0.66,0.04,0.11,0.02,0.59,19,88,Normal
106,2026-01-05T10:00:00.000Z,jharia-open-pit,zone-a,EX-201,6.96,2.24,2.00,0.16,2.08,0.67,1.35,54,78,Warning
107,2026-01-05T11:00:00.000Z,jharia-open-pit,zone-b,SN-101,9.67,0.82,1.43,0.42,2.10,0.72,2.84,44,89,Warning
108,2026-01-05T12:00:00.000Z,jharia-open-pit,zone-d,EX-201,1.22,0.24,0.35,0.03,1.33,0.11,0.23,17,94,Normal
109,2026-01-05T13:00:00.000Z,korba-west-bench,zone-b,SN-102,1.33,0.50,0.27,0.08,0.02,0.04,0.08,17,94,Normal
110,2026-01-05T14:00:00.000Z,jharia-open-pit,zone-b,SN-101,0.09,0.56,0.23,0.06,0.96,0.19,0.57,39,97,Normal
111,2026-01-05T15:00:00.000Z,jharia-open-pit,zone-d,PZ-401,1.01,0.06,0.20,0.13,1.19,0.06,0.47,32,86,Normal
112,2026-01-05T16:00:00.000Z,singareni-s4,zone-c,PZ-401,3.01,0.06,0.14,0.03,0.49,0.11,0.66,22,74,Normal
113,2026-01-05T17:00:00.000Z,korba-west-bench,zone-c,SN-101,5.13,1.47,1.21,0.39,2.28,0.48,1.95,46,82,Warning
114,2026-01-05T18:00:00.000Z,singareni-s4,zone-b,EX-201,0.48,0.11,0.01,0.04,0.68,0.16,0.61,19,83,Normal
115,2026-01-05T19:00:00.000Z,korba-west-bench,zone-d,SN-102,6.83,1.01,1.59,0.33,1.57,0.68,1.74,64,82,Warning
116,2026-01-05T20:00:00.000Z,raniganj-south-slope,zone-c,SN-102,4.32,0.55,0.48,0.13,0.74,0.10,0.78,22,88,Normal
117,2026-01-05T21:00:00.000Z,raniganj-south-slope,zone-c,SN-101,4.03,0.37,0.77,0.11,0.40,0.10,0.47,36,70,Normal
118,2026-01-05T22:00:00.000Z,singareni-s4,zone-a,SN-101,1.98,0.54,0.31,0.07,0.13,0.20,0.57,37,99,Normal
119,2026-01-05T23:00:00.000Z,singareni-s4,zone-d,TL-301,24.87,6.08,5.69,1.07,6.22,2.13,5.40,75,83,Critical
120,2026-01-06T00:00:00.000Z,raniganj-south-slope,zone-a,SN-101,1.01,0.80,0.08,0.12,0.81,0.11,0.95,38,60,Normal
121,2026-01-06T01:00:00.000Z,raniganj-south-slope,zone-c,SN-102,4.14,0.18,0.66,0.03,0.64,0.14,1.01,27,88,Normal
122,2026-01-06T02:00:00.000Z,jharia-open-pit,zone-d,SN-101,0.73,0.26,0.41,0.08,1.06,0.12,0.73,23,75,Normal
123,2026-01-06T03:00:00.000Z,jharia-open-pit,zone-a,SN-101,1.79,0.46,0.23,0.10,1.07,0.08,0.84,21,70,Normal
124,2026-01-06T04:00:00.000Z,jharia-open-pit,zone-b,SN-102,3.83,0.06,0.19,0.10,0.99,0.18,,24,86,Normal
125,2026-01-06T05:00:00.000Z,jharia-open-pit,zone-c,SN-102,6.00,1.85,1.87,0.35,4.11,0.34,2.35,36,87,Warning
126,2026-01-06T06:00:00.000Z,singareni-s4,zone-b,PZ-401,0.82,0.60,0.60,0.12,1.07,0.01,0.30,37,65,Normal
127,2026-01-06T07:00:00.000Z,raniganj-south-slope,zone-d,SN-102,0.68,0.15,0.55,0.07,0.19,0.08,0.99,36,90,Normal
128,2026-01-06T08:00:00.000Z,jharia-open-pit,zone-c,SN-101,4.38,0.30,0.78,0.04,0.64,0.20,0.40,18,77,Normal
129,2026-01-06T09:00:00.000Z,korba-west-bench,zone-d,EX-201,14.27,5.97,5.57,1.45,12.86,1.08,5.75,66,75,Critical
130,2026-01-06T10:00:00.000Z,raniganj-south-slope,zone-b,SN-102,0.37,0.51,0.10,0.07,0.22,0.16,0.67,27,79,Normal
131,2026-01-06T11:00:00.000Z,jharia-open-pit,zone-c,SN-102,4.11,0.19,0.78,0.01,0.59,0.19,0.44,17,88,Normal
132,2026-01-06T12:00:00.000Z,jharia-open-pit,zone-b,TL-301,3.24,0.69,0.54,0.09,0.09,0.06,0.74,34,81,Normal
133,2026-01-06T13:00:00.000Z,jharia-open-pit,zone-d,TL-301,21.21,5.55,5.71,0.93,6.57,1.00,3.78,64,70,Critical
134,2026-01-06T14:00:00.000Z,jharia-open-pit,zone-c,SN-102,1.03,0.66,0.17,0.13,1.46,0.17,0.97,25,80,Normal
135,2026-01-06T15:00:00.000Z,korba-west-bench,zone-c,EX-201,3.48,0.31,0.01,0.13,0.36,0.13,0.09,21,77,Normal
136,2026-01-06T16:00:00.000Z,singareni-s4,zone-a,TL-301,1.01,0.39,0.78,0.01,0.89,0.08,0.11,25,62,Normal
137,2026-01-06T17:00:00.000Z,jharia-open-pit,zone-b,SN-102,26.20,5.78,4.22,1.03,10.23,1.70,2.66,85,85,Critical
138,2026-01-06T18:00:00.000Z,raniganj-south-slope,zone-a,SN-101,4.44,0.16,0.57,0.09,0.47,0.11,0.29,32,60,Normal
139,2026-01-06T19:00:00.000Z,singareni-s4,zone-b,SN-102,6.13,2.35,1.26,0.56,3.72,0.29,1.48,49,93,Warning
140,2026-01-06T20:00:00.000Z,singareni-s4,zone-b,SN-102,9.47,1.15,1.54,0.51,2.37,0.52,1.61,44,64,Warning
141,2026-01-06T21:00:00.000Z,raniganj-south-slope,zone-b,SN-102,1.06,0.42,0.26,0.08,0.29,0.11,0.81,35,90,Normal
142,2026-01-06T22:00:00.000Z,singareni-s4,zone-b,SN-102,17.01,5.89,2.83,0.85,9.22,2.51,2.51,71,99,Critical
143,2026-01-06T23:00:00.000Z,singareni-s4,zone-b,PZ-401,13.83,6.61,3.53,0.52,12.97,1.89,6.23,78,61,Critical
144,2026-01-07T00:00:00.000Z,jharia-open-pit,zone-d,PZ-401,1.60,0.33,0.27,0.15,0.40,0.14,1.04,27,99,Normal
145,2026-01-07T01:00:00.000Z,jharia-open-pit,zone-d,PZ-401,22.21,3.05,3.32,0.80,12.29,1.69,2.52,58,88,Critical
146,2026-01-07T02:00:00.000Z,raniganj-south-slope,zone-d,TL-301,0.34,0.17,0.60,0.04,1.41,0.11,,32,94,Normal
147,2026-01-07T03:00:00.000Z,jharia-open-pit,zone-b,SN-101,3.68,0.48,0.69,0.06,1.15,0.12,1.04,39,94,Normal
148,2026-01-07T04:00:00.000Z,korba-west-bench,zone-d,TL-301,0.29,0.45,0.29,0.14,0.03,0.12,0.86,18,60,Normal
149,2026-01-07T05:00:00.000Z,korba-west-bench,zone-c,EX-201,22.08,4.47,3.33,0.62,5.12,0.80,4.73,81,93,Critical
150,2026-01-07T06:00:00.000Z,singareni-s4,zone-d,SN-101,1.22,0.68,0.75,0.15,1.50,0.00,0.38,23,85,Normal
151,2026-01-07T07:00:00.000Z,raniganj-south-slope,zone-c,TL-301,17.98,6.48,2.96,1.03,6.37,1.29,3.70,60,73,Critical
152,2026-01-07T08:00:00.000Z,raniganj-south-slope,zone-d,EX-201,0.54,0.77,0.06,0.07,0.77,0.06,0.51,23,85,Normal
153,2026-01-07T09:00:00.000Z,raniganj-south-slope,zone-a,EX-201,4.14,0.77,0.33,0.02,1.36,0.18,0.30,26,99,Normal
154,2026-01-07T10:00:00.000Z,korba-west-bench,zone-a,EX-201,4.26,0.34,0.61,0.10,1.22,0.06,0.51,18,69,Normal
155,2026-01-07T11:00:00.000Z,korba-west-bench,zone-c,TL-301,7.19,2.14,2.26,0.56,4.49,0.38,2.71,63,99,Warning
156,2026-01-07T12:00:00.000Z,singareni-s4,zone-c,TL-301,2.23,0.06,0.07,0.08,1.02,0.13,0.47,33,90,Normal
157,2026-01-07T13:00:00.000Z,korba-west-bench,zone-a,SN-102,3.82,0.73,0.02,0.04,0.11,0.09,0.61,31,84,Normal
158,2026-01-07T14:00:00.000Z,raniganj-south-slope,zone-c,SN-102,1.52,0.09,0.23,0.07,0.52,0.15,0.71,21,67,Normal
159,2026-01-07T15:00:00.000Z,raniganj-south-slope,zone-b,SN-101,0.25,0.64,0.71,0.09,0.71,0.09,0.57,34,60,Normal
160,2026-01-07T16:00:00.000Z,jharia-open-pit,zone-c,TL-301,3.87,0.15,0.50,0.11,0.32,0.17,0.97,35,96,Normal
161,2026-01-07T17:00:00.000Z,singareni-s4,zone-c,PZ-401,1.76,0.54,0.00,0.07,0.12,0.12,0.18,27,69,Normal
162,2026-01-07T18:00:00.000Z,singareni-s4,zone-b,SN-102,1.45,0.74,0.48,0.11,0.89,0.14,0.88,30,91,Normal
163,2026-01-07T19:00:00.000Z,raniganj-south-slope,zone-b,SN-101,0.48,0.71,0.22,0.12,0.24,0.07,0.35,36,66,Normal
164,2026-01-07T20:00:00.000Z,raniganj-south-slope,zone-d,EX-201,5.84,1.67,2.10,0.48,4.64,0.69,2.91,47,62,Warning
165,2026-01-07T21:00:00.000Z,korba-west-bench,zone-b,SN-101,8.90,1.80,1.39,0.55,2.86,0.23,2.74,64,77,Warning
166,2026-01-07T22:00:00.000Z,raniganj-south-slope,zone-d,PZ-401,5.38,2.03,1.34,0.37,2.38,0.37,1.31,52,61,Warning
167,2026-01-07T23:00:00.000Z,jharia-open-pit,zone-d,PZ-401,5.93,0.91,2.04,0.44,3.12,0.59,2.02,35,88,Warning
168,2026-01-08T00:00:00.000Z,jharia-open-pit,zone-b,PZ-401,23.18,3.71,3.72,1.40,11.01,0.94,5.57,65,67,Critical
169,2026-01-08T01:00:00.000Z,raniganj-south-slope,zone-a,SN-101,1.08,0.57,0.66,0.08,1.25,0.08,1.17,37,68,Normal
170,2026-01-08T02:00:00.000Z,raniganj-south-slope,zone-a,EX-201,8.27,2.20,1.79,0.59,4.18,0.67,2.13,57,99,Warning
171,2026-01-08T03:00:00.000Z,singareni-s4,zone-a,TL-301,2.59,0.79,0.58,0.13,0.50,0.09,0.61,18,98,Normal
172,2026-01-08T04:00:00.000Z,korba-west-bench,zone-d,SN-101,5.65,1.13,0.95,0.51,4.17,0.64,1.30,43,84,Warning
173,2026-01-08T05:00:00.000Z,jharia-open-pit,zone-b,TL-301,1.14,0.53,0.27,0.06,1.03,0.03,0.28,22,77,Normal
174,2026-01-08T06:00:00.000Z,singareni-s4,zone-a,SN-102,3.83,0.31,0.39,0.08,1.21,0.12,0.08,18,97,Normal
175,2026-01-08T07:00:00.000Z,jharia-open-pit,zone-d,SN-102,2.87,0.72,0.13,0.05,0.12,0.07,0.11,21,90,Normal
176,2026-01-08T08:00:00.000Z,korba-west-bench,zone-c,TL-301,11.01,1.68,1.48,0.59,4.28,0.54,1.84,35,99,Warning
177,2026-01-08T09:00:00.000Z,singareni-s4,zone-d,PZ-401,26.34,4.96,4.81,1.54,8.49,2.45,2.75,80,72,Critical
178,2026-01-08T10:00:00.000Z,korba-west-bench,zone-d,SN-101,4.19,0.70,0.76,0.13,1.37,0.13,0.64,29,74,Normal
179,2026-01-08T11:00:00.000Z,raniganj-south-slope,zone-b,SN-102,2.91,0.71,0.62,0.11,1.28,0.06,1.17,20,87,Normal
180,2026-01-08T12:00:00.000Z,singareni-s4,zone-a,SN-102,0.82,0.58,0.44,0.01,1.16,0.19,0.27,39,66,Normal
181,2026-01-08T13:00:00.000Z,raniganj-south-slope,zone-c,TL-301,3.86,0.47,0.12,0.11,1.43,0.11,0.51,28,78,Normal
182,2026-01-08T14:00:00.000Z,raniganj-south-slope,zone-a,TL-301,11.28,1.04,2.10,0.56,1.63,0.68,2.90,48,69,Warning
183,2026-01-08T15:00:00.000Z,jharia-open-pit,zone-d,SN-101,3.08,0.66,0.34,0.08,1.21,0.15,0.67,28,95,Normal
184,2026-01-08T16:00:00.000Z,korba-west-bench,zone-b,EX-201,1.13,0.00,0.70,0.01,0.35,0.08,0.10,21,87,Normal
185,2026-01-08T17:00:00.000Z,korba-west-bench,zone-a,EX-201,5.83,2.16,2.14,0.41,3.70,0.49,2.32,51,92,Warning
186,2026-01-08T18:00:00.000Z,raniganj-south-slope,zone-a,SN-101,2.76,0.37,0.25,0.11,0.43,0.05,0.62,34,84,Normal
